po_id,supplier_id,product_id,warehouse_id,order_date,expected_arrival_date,actual_arrival_date,ordered_units,received_units,late_delivery_flag
PO-00000026,SUP-007,SKU-0001,WH-LIS,2024-09-15,2024-09-28,2024-09-28,897,883,0
PO-00000027,SUP-007,SKU-0001,WH-LIS,2024-09-25,2024-10-08,2024-10-06,922,922,0
PO-00000028,SUP-007,SKU-0001,WH-LIS,2024-10-04,2024-10-17,2024-10-16,860,860,0
PO-00000029,SUP-007,SKU-0001,WH-LIS,2024-10-14,2024-10-27,2024-10-26,901,901,0
PO-00000030,SUP-007,SKU-0001,WH-LIS,2024-10-23,2024-11-05,2024-11-07,864,838,1
PO-00000031,SUP-007,SKU-0001,WH-LIS,2024-11-01,2024-11-14,2024-11-14,880,868,0
PO-00000032,SUP-007,SKU-0001,WH-LIS,2024-11-11,2024-11-24,2024-11-27,906,897,1
PO-00000033,SUP-007,SKU-0001,WH-LIS,2024-11-20,2024-12-03,2024-12-05,949,949,1
PO-00000034,SUP-007,SKU-0001,WH-LIS,2024-12-02,2024-12-15,2024-12-09,936,924,0
PO-00000035,SUP-007,SKU-0001,WH-LIS,2024-12-10,2024-12-23,2024-12-17,916,907,0
PO-00000036,SUP-007,SKU-0001,WH-LIS,2024-12-18,2024-12-31,2024-12-30,943,920,0
PO-00000037,SUP-007,SKU-0001,WH-LIS,2024-12-26,2025-01-08,2025-01-12,917,883,1
PO-00000038,SUP-007,SKU-0001,WH-LIS,2025-01-04,2025-01-17,2025-01-17,908,902,0
PO-00000039,SUP-007,SKU-0001,WH-LIS,2025-01-18,2025-01-31,2025-01-31,933,931,0
PO-00000040,SUP-007,SKU-0001,WH-LIS,2025-01-29,2025-02-11,2025-02-10,918,901,0
PO-00000041,SUP-007,SKU-0001,WH-LIS,2025-02-09,2025-02-22,2025-02-21,932,930,0
PO-00000042,SUP-007,SKU-0001,WH-LIS,2025-02-19,2025-03-04,2025-03-05,948,922,1
PO-00000043,SUP-007,SKU-0001,WH-LIS,2025-03-01,2025-03-14,2025-03-12,896,885,0
PO-00000044,SUP-007,SKU-0001,WH-LIS,2025-03-11,2025-03-24,2025-03-22,946,923,0
PO-00000045,SUP-007,SKU-0001,WH-LIS,2025-03-20,2025-04-02,2025-03-31,858,847,0
PO-00000046,SUP-007,SKU-0001,WH-LIS,2025-03-31,2025-04-13,2025-04-13,928,890,0
PO-00000047,SUP-007,SKU-0001,WH-LIS,2025-04-09,2025-04-22,2025-04-21,887,875,0
PO-00000048,SUP-007,SKU-0001,WH-LIS,2025-04-18,2025-05-01,2025-05-02,880,872,1
PO-00000049,SUP-007,SKU-0001,WH-LIS,2025-04-28,2025-05-11,2025-05-10,902,881,0
PO-00000050,SUP-007,SKU-0001,WH-LIS,2025-05-07,2025-05-20,2025-05-22,874,847,1
PO-00000051,SUP-007,SKU-0001,WH-LIS,2025-05-16,2025-05-29,2025-05-31,871,841,1
PO-00000052,SUP-007,SKU-0001,WH-LIS,2025-05-27,2025-06-09,2025-06-06,944,923,0
PO-00000053,SUP-007,SKU-0001,WH-LIS,2025-06-05,2025-06-18,2025-06-17,870,870,0
PO-00000054,SUP-007,SKU-0001,WH-LIS,2025-06-14,2025-06-27,2025-06-27,896,882,0
PO-00000055,SUP-007,SKU-0001,WH-LIS,2025-06-23,2025-07-06,2025-07-03,865,863,0
PO-00000056,SUP-007,SKU-0001,WH-LIS,2025-07-02,2025-07-15,2025-07-17,900,875,1
PO-00000057,SUP-007,SKU-0001,WH-LIS,2025-07-10,2025-07-23,2025-07-23,866,838,0
PO-00000058,SUP-007,SKU-0001,WH-LIS,2025-07-21,2025-08-03,2025-08-06,917,917,1
PO-00000059,SUP-007,SKU-0001,WH-LIS,2025-07-30,2025-08-12,2025-08-14,928,922,1
PO-00000060,SUP-007,SKU-0001,WH-LIS,2025-08-11,2025-08-24,2025-08-26,919,910,1
PO-00000061,SUP-007,SKU-0001,WH-LIS,2025-08-20,2025-09-02,2025-09-06,860,844,1
PO-00000062,SUP-007,SKU-0001,WH-LIS,2025-08-30,2025-09-12,2025-09-14,918,898,1
PO-00000063,SUP-007,SKU-0001,WH-LIS,2025-09-11,2025-09-24,2025-09-23,906,906,0
PO-00000064,SUP-007,SKU-0001,WH-LIS,2025-09-21,2025-10-04,2025-10-07,944,937,1
PO-00000065,SUP-007,SKU-0001,WH-LIS,2025-09-30,2025-10-13,2025-10-12,895,888,0
PO-00000066,SUP-007,SKU-0001,WH-LIS,2025-10-13,2025-10-26,2025-10-31,961,943,1
PO-00000067,SUP-007,SKU-0001,WH-LIS,2025-10-22,2025-11-04,2025-11-05,893,859,1
PO-00000068,SUP-007,SKU-0001,WH-LIS,2025-11-04,2025-11-17,2025-11-19,859,855,1
PO-00000069,SUP-007,SKU-0001,WH-LIS,2025-11-13,2025-11-26,2025-12-02,904,902,1
PO-00000070,SUP-007,SKU-0001,WH-LIS,2025-11-23,2025-12-06,2025-12-05,898,884,0
PO-00000071,SUP-007,SKU-0001,WH-LIS,2025-12-06,2025-12-19,2025-12-21,930,926,1
PO-00000072,SUP-007,SKU-0001,WH-LIS,2025-12-14,2025-12-27,2025-12-24,941,916,0
PO-00000073,SUP-007,SKU-0001,WH-LIS,2025-12-25,2026-01-07,2026-01-15,862,850,1
PO-00000074,SUP-007,SKU-0001,WH-PORTO,2024-01-03,2024-01-16,2024-01-15,746,725,0
PO-00000075,SUP-007,SKU-0001,WH-PORTO,2024-01-13,2024-01-26,2024-01-30,764,752,1
PO-00000076,SUP-007,SKU-0001,WH-PORTO,2024-01-22,2024-02-04,2024-02-08,723,722,1
PO-00000077,SUP-007,SKU-0001,WH-PORTO,2024-02-04,2024-02-17,2024-02-19,757,757,1
PO-00000078,SUP-007,SKU-0001,WH-PORTO,2024-02-14,2024-02-27,2024-02-22,784,782,0
PO-00000079,SUP-007,SKU-0001,WH-PORTO,2024-02-24,2024-03-08,2024-03-09,722,701,1
PO-00000080,SUP-007,SKU-0001,WH-PORTO,2024-03-05,2024-03-18,2024-03-20,767,767,1
PO-00000081,SUP-007,SKU-0001,WH-PORTO,2024-03-14,2024-03-27,2024-03-23,714,692,0
PO-00000082,SUP-007,SKU-0001,WH-PORTO,2024-03-24,2024-04-06,2024-04-06,724,722,0
PO-00000083,SUP-007,SKU-0001,WH-PORTO,2024-04-02,2024-04-15,2024-04-14,751,751,0
PO-00000084,SUP-007,SKU-0001,WH-PORTO,2024-04-11,2024-04-24,2024-04-20,782,763,0
PO-00000085,SUP-007,SKU-0001,WH-PORTO,2024-04-19,2024-05-02,2024-05-03,735,732,1
PO-00000086,SUP-007,SKU-0001,WH-PORTO,2024-04-28,2024-05-11,2024-05-11,755,743,0
PO-00000087,SUP-007,SKU-0001,WH-PORTO,2024-05-07,2024-05-20,2024-05-20,724,711,0
PO-00000088,SUP-007,SKU-0001,WH-PORTO,2024-05-16,2024-05-29,2024-05-30,747,742,1
PO-00000089,SUP-007,SKU-0001,WH-PORTO,2024-05-25,2024-06-07,2024-06-04,747,727,0
PO-00000090,SUP-007,SKU-0001,WH-PORTO,2024-06-03,2024-06-16,2024-06-17,751,725,1
PO-00000091,SUP-007,SKU-0001,WH-PORTO,2024-06-11,2024-06-24,2024-06-23,751,751,0
PO-00000092,SUP-007,SKU-0001,WH-PORTO,2024-06-20,2024-07-03,2024-07-04,719,704,1
PO-00000093,SUP-007,SKU-0001,WH-PORTO,2024-06-28,2024-07-11,2024-07-11,783,777,0
PO-00000094,SUP-007,SKU-0001,WH-PORTO,2024-07-08,2024-07-21,2024-07-18,758,718,0
PO-00000095,SUP-007,SKU-0001,WH-PORTO,2024-07-16,2024-07-29,2024-07-30,746,739,1
PO-00000096,SUP-007,SKU-0001,WH-PORTO,2024-07-24,2024-08-06,2024-08-10,745,740,1
PO-00000097,SUP-007,SKU-0001,WH-PORTO,2024-08-03,2024-08-16,2024-08-17,773,760,1
PO-00000098,SUP-007,SKU-0001,WH-PORTO,2024-08-15,2024-08-28,2024-09-01,798,789,1
PO-00000099,SUP-007,SKU-0001,WH-PORTO,2024-08-23,2024-09-05,2024-09-06,726,717,1
PO-00000100,SUP-007,SKU-0001,WH-PORTO,2024-09-06,2024-09-19,2024-09-26,799,792,1
PO-00000101,SUP-007,SKU-0001,WH-PORTO,2024-09-15,2024-09-28,2024-09-25,713,709,0
PO-00000102,SUP-007,SKU-0001,WH-PORTO,2024-09-30,2024-10-13,2024-10-14,769,769,1
PO-00000103,SUP-007,SKU-0001,WH-PORTO,2024-10-09,2024-10-22,2024-10-24,789,787,1
PO-00000104,SUP-007,SKU-0001,WH-PORTO,2024-10-19,2024-11-01,2024-10-31,748,748,0
PO-00000105,SUP-007,SKU-0001,WH-PORTO,2024-10-30,2024-11-12,2024-11-10,788,773,0
PO-00000106,SUP-007,SKU-0001,WH-PORTO,2024-11-07,2024-11-20,2024-11-27,770,768,1
PO-00000107,SUP-007,SKU-0001,WH-PORTO,2024-11-15,2024-11-28,2024-11-29,723,718,1
PO-00000108,SUP-007,SKU-0001,WH-PORTO,2024-12-01,2024-12-14,2024-12-12,760,758,0
PO-00000109,SUP-007,SKU-0001,WH-PORTO,2024-12-08,2024-12-21,2024-12-21,754,754,0
PO-00000110,SUP-007,SKU-0001,WH-PORTO,2024-12-16,2024-12-29,2024-12-28,778,778,0
PO-00000111,SUP-007,SKU-0001,WH-PORTO,2024-12-25,2025-01-07,2025-01-05,740,718,0
PO-00000112,SUP-007,SKU-0001,WH-PORTO,2025-01-01,2025-01-14,2025-01-13,732,728,0
PO-00000113,SUP-007,SKU-0001,WH-PORTO,2025-01-11,2025-01-24,2025-01-22,739,727,0
PO-00000114,SUP-007,SKU-0001,WH-PORTO,2025-01-21,2025-02-03,2025-02-08,798,798,1
PO-00000115,SUP-007,SKU-0001,WH-PORTO,2025-01-31,2025-02-13,2025-02-11,752,744,0
PO-00000116,SUP-007,SKU-0001,WH-PORTO,2025-02-14,2025-02-27,2025-03-03,776,773,1
PO-00000117,SUP-007,SKU-0001,WH-PORTO,2025-02-24,2025-03-09,2025-03-10,712,679,1
PO-00000118,SUP-007,SKU-0001,WH-PORTO,2025-03-07,2025-03-20,2025-03-18,762,743,0
PO-00000119,SUP-007,SKU-0001,WH-PORTO,2025-03-15,2025-03-28,2025-03-27,716,712,0
PO-00000120,SUP-007,SKU-0001,WH-PORTO,2025-03-25,2025-04-07,2025-04-06,786,768,0
PO-00000121,SUP-007,SKU-0001,WH-PORTO,2025-04-03,2025-04-16,2025-04-18,772,755,1
PO-00000122,SUP-007,SKU-0001,WH-PORTO,2025-04-12,2025-04-25,2025-04-23,767,758,0
PO-00000123,SUP-007,SKU-0001,WH-PORTO,2025-04-23,2025-05-06,2025-05-05,779,771,0
PO-00000124,SUP-007,SKU-0001,WH-PORTO,2025-05-01,2025-05-14,2025-05-19,718,697,1
PO-00000125,SUP-007,SKU-0001,WH-PORTO,2025-05-10,2025-05-23,2025-05-30,789,789,1
PO-00000126,SUP-007,SKU-0001,WH-PORTO,2025-05-23,2025-06-05,2025-06-07,724,717,1
PO-00000127,SUP-007,SKU-0001,WH-PORTO,2025-06-03,2025-06-16,2025-06-16,739,729,0
PO-00000128,SUP-007,SKU-0001,WH-PORTO,2025-06-12,2025-06-25,2025-06-24,803,775,0
PO-00000129,SUP-007,SKU-0001,WH-PORTO,2025-06-21,2025-07-04,2025-07-13,757,735,1
PO-00000130,SUP-007,SKU-0001,WH-PORTO,2025-06-30,2025-07-13,2025-07-10,796,794,0
PO-00000131,SUP-007,SKU-0001,WH-PORTO,2025-07-15,2025-07-28,2025-07-26,763,747,0
PO-00000132,SUP-007,SKU-0001,WH-PORTO,2025-07-23,2025-08-05,2025-08-05,723,719,0
PO-00000133,SUP-007,SKU-0001,WH-PORTO,2025-07-31,2025-08-13,2025-08-10,774,765,0
PO-00000134,SUP-007,SKU-0001,WH-PORTO,2025-08-09,2025-08-22,2025-08-23,758,758,1
PO-00000135,SUP-007,SKU-0001,WH-PORTO,2025-08-18,2025-08-31,2025-09-02,730,697,1
PO-00000136,SUP-007,SKU-0001,WH-PORTO,2025-08-27,2025-09-09,2025-09-09,754,745,0
PO-00000137,SUP-007,SKU-0001,WH-PORTO,2025-09-06,2025-09-19,2025-09-18,743,739,0
PO-00000138,SUP-007,SKU-0001,WH-PORTO,2025-09-15,2025-09-28,2025-10-07,774,765,1
PO-00000139,SUP-007,SKU-0001,WH-PORTO,2025-09-24,2025-10-07,2025-10-05,806,784,0
PO-00000140,SUP-007,SKU-0001,WH-PORTO,2025-10-10,2025-10-23,2025-10-20,773,755,0
PO-00000141,SUP-007,SKU-0001,WH-PORTO,2025-10-19,2025-11-01,2025-10-30,781,753,0
PO-00000142,SUP-007,SKU-0001,WH-PORTO,2025-10-27,2025-11-09,2025-11-07,740,726,0
PO-00000143,SUP-007,SKU-0001,WH-PORTO,2025-11-04,2025-11-17,2025-11-22,803,788,1
PO-00000144,SUP-007,SKU-0001,WH-PORTO,2025-11-11,2025-11-24,2025-11-24,714,700,0
PO-00000145,SUP-007,SKU-0001,WH-PORTO,2025-11-27,2025-12-10,2025-12-14,814,804,1
PO-00000146,SUP-007,SKU-0001,WH-PORTO,2025-12-04,2025-12-17,2025-12-13,737,737,0
PO-00000147,SUP-007,SKU-0001,WH-PORTO,2025-12-17,2025-12-30,2026-01-01,743,740,1
PO-00000148,SUP-007,SKU-0001,WH-PORTO,2025-12-25,2026-01-07,2026-01-08,810,802,1
PO-00000149,SUP-007,SKU-0001,WH-MAD,2024-01-05,2024-01-18,2024-01-16,673,673,0
PO-00000150,SUP-007,SKU-0001,WH-MAD,2024-01-14,2024-01-27,2024-01-29,688,685,1
PO-00000151,SUP-007,SKU-0001,WH-MAD,2024-01-23,2024-02-05,2024-02-06,666,657,1
PO-00000152,SUP-007,SKU-0001,WH-MAD,2024-02-03,2024-02-16,2024-02-15,707,705,0
PO-00000153,SUP-007,SKU-0001,WH-MAD,2024-02-12,2024-02-25,2024-02-29,686,676,1
PO-00000154,SUP-007,SKU-0001,WH-MAD,2024-02-21,2024-03-05,2024-03-04,702,702,0
PO-00000155,SUP-007,SKU-0001,WH-MAD,2024-03-05,2024-03-18,2024-03-18,694,672,0
PO-00000156,SUP-007,SKU-0001,WH-MAD,2024-03-13,2024-03-26,2024-03-25,686,686,0
PO-00000157,SUP-007,SKU-0001,WH-MAD,2024-03-22,2024-04-04,2024-04-05,675,675,1
PO-00000158,SUP-007,SKU-0001,WH-MAD,2024-03-31,2024-04-13,2024-04-12,716,713,0
PO-00000159,SUP-007,SKU-0001,WH-MAD,2024-04-10,2024-04-23,2024-04-23,682,655,0
PO-00000160,SUP-007,SKU-0001,WH-MAD,2024-04-18,2024-05-01,2024-05-03,727,723,1
PO-00000161,SUP-007,SKU-0001,WH-MAD,2024-04-27,2024-05-10,2024-05-14,684,676,1
PO-00000162,SUP-007,SKU-0001,WH-MAD,2024-05-07,2024-05-20,2024-05-22,682,682,1
PO-00000163,SUP-007,SKU-0001,WH-MAD,2024-05-19,2024-06-01,2024-05-31,709,698,0
PO-00000164,SUP-007,SKU-0001,WH-MAD,2024-05-28,2024-06-10,2024-06-09,690,686,0
PO-00000165,SUP-007,SKU-0001,WH-MAD,2024-06-05,2024-06-18,2024-06-17,703,695,0
PO-00000166,SUP-007,SKU-0001,WH-MAD,2024-06-13,2024-06-26,2024-06-25,678,661,0
PO-00000167,SUP-007,SKU-0001,WH-MAD,2024-06-21,2024-07-04,2024-07-05,677,663,1
PO-00000168,SUP-007,SKU-0001,WH-MAD,2024-06-30,2024-07-13,2024-07-12,702,700,0
PO-00000169,SUP-007,SKU-0001,WH-MAD,2024-07-09,2024-07-22,2024-07-21,681,651,0
PO-00000170,SUP-007,SKU-0001,WH-MAD,2024-07-16,2024-07-29,2024-07-25,682,664,0
PO-00000171,SUP-007,SKU-0001,WH-MAD,2024-07-24,2024-08-06,2024-08-04,669,658,0
PO-00000172,SUP-007,SKU-0001,WH-MAD,2024-08-01,2024-08-14,2024-08-15,687,677,1
PO-00000173,SUP-007,SKU-0001,WH-MAD,2024-08-08,2024-08-21,2024-08-21,654,643,0
PO-00000174,SUP-007,SKU-0001,WH-MAD,2024-08-18,2024-08-31,2024-09-05,672,649,1
PO-00000175,SUP-007,SKU-0001,WH-MAD,2024-08-25,2024-09-07,2024-09-09,649,635,1
PO-00000176,SUP-007,SKU-0001,WH-MAD,2024-09-09,2024-09-22,2024-09-19,739,725,0
PO-00000177,SUP-007,SKU-0001,WH-MAD,2024-09-17,2024-09-30,2024-10-02,720,709,1
PO-00000178,SUP-007,SKU-0001,WH-MAD,2024-09-25,2024-10-08,2024-10-12,677,662,1
PO-00000179,SUP-007,SKU-0001,WH-MAD,2024-10-07,2024-10-20,2024-10-20,690,690,0
PO-00000180,SUP-007,SKU-0001,WH-MAD,2024-10-17,2024-10-30,2024-10-31,747,746,1
PO-00000181,SUP-007,SKU-0001,WH-MAD,2024-10-25,2024-11-07,2024-11-10,675,664,1
PO-00000182,SUP-007,SKU-0001,WH-MAD,2024-11-05,2024-11-18,2024-11-17,710,706,0
PO-00000183,SUP-007,SKU-0001,WH-MAD,2024-11-14,2024-11-27,2024-11-28,673,669,1
PO-00000184,SUP-007,SKU-0001,WH-MAD,2024-11-21,2024-12-04,2024-12-08,724,712,1
PO-00000185,SUP-007,SKU-0001,WH-MAD,2024-12-02,2024-12-15,2024-12-12,680,666,0
PO-00000186,SUP-007,SKU-0001,WH-MAD,2024-12-11,2024-12-24,2024-12-25,658,637,1
PO-00000187,SUP-007,SKU-0001,WH-MAD,2024-12-18,2024-12-31,2025-01-02,748,742,1
PO-00000188,SUP-007,SKU-0001,WH-MAD,2024-12-29,2025-01-11,2025-01-11,672,657,0
PO-00000189,SUP-007,SKU-0001,WH-MAD,2025-01-07,2025-01-20,2025-01-25,644,644,1
PO-00000190,SUP-007,SKU-0001,WH-MAD,2025-01-16,2025-01-29,2025-02-01,699,689,1
PO-00000191,SUP-007,SKU-0001,WH-MAD,2025-01-29,2025-02-11,2025-02-10,674,658,0
PO-00000192,SUP-007,SKU-0001,WH-MAD,2025-02-06,2025-02-19,2025-02-21,685,652,1
PO-00000193,SUP-007,SKU-0001,WH-MAD,2025-02-15,2025-02-28,2025-02-28,691,676,0
PO-00000194,SUP-007,SKU-0001,WH-MAD,2025-02-26,2025-03-11,2025-03-14,678,662,1
PO-00000195,SUP-007,SKU-0001,WH-MAD,2025-03-06,2025-03-19,2025-03-18,672,668,0
PO-00000196,SUP-007,SKU-0001,WH-MAD,2025-03-18,2025-03-31,2025-03-27,656,649,0
PO-00000197,SUP-007,SKU-0001,WH-MAD,2025-03-26,2025-04-08,2025-04-08,664,654,0
PO-00000198,SUP-007,SKU-0001,WH-MAD,2025-04-03,2025-04-16,2025-04-15,709,702,0
PO-00000199,SUP-007,SKU-0001,WH-MAD,2025-04-12,2025-04-25,2025-04-21,662,651,0
PO-00000200,SUP-007,SKU-0001,WH-MAD,2025-04-20,2025-05-03,2025-05-01,692,687,0
PO-00000201,SUP-007,SKU-0001,WH-MAD,2025-04-28,2025-05-11,2025-05-16,651,636,1
PO-00000202,SUP-007,SKU-0001,WH-MAD,2025-05-07,2025-05-20,2025-05-23,696,685,1
PO-00000203,SUP-007,SKU-0001,WH-MAD,2025-05-20,2025-06-02,2025-06-09,683,672,1
PO-00000204,SUP-007,SKU-0001,WH-MAD,2025-05-29,2025-06-11,2025-06-16,705,699,1
PO-00000205,SUP-007,SKU-0001,WH-MAD,2025-06-13,2025-06-26,2025-06-24,683,673,0
PO-00000206,SUP-007,SKU-0001,WH-MAD,2025-06-21,2025-07-04,2025-07-04,685,663,0
PO-00000207,SUP-007,SKU-0001,WH-MAD,2025-06-29,2025-07-12,2025-07-05,704,691,0
PO-00000208,SUP-007,SKU-0001,WH-MAD,2025-07-08,2025-07-21,2025-07-23,726,721,1
PO-00000209,SUP-007,SKU-0001,WH-MAD,2025-07-16,2025-07-29,2025-07-31,689,689,1
PO-00000210,SUP-007,SKU-0001,WH-MAD,2025-07-27,2025-08-09,2025-08-12,659,651,1
PO-00000211,SUP-007,SKU-0001,WH-MAD,2025-08-04,2025-08-17,2025-08-17,717,710,0
PO-00000212,SUP-007,SKU-0001,WH-MAD,2025-08-16,2025-08-29,2025-08-31,688,688,1
PO-00000213,SUP-007,SKU-0001,WH-MAD,2025-08-23,2025-09-05,2025-09-07,720,695,1
PO-00000214,SUP-007,SKU-0001,WH-MAD,2025-09-05,2025-09-18,2025-09-20,725,721,1
PO-00000215,SUP-007,SKU-0001,WH-MAD,2025-09-12,2025-09-25,2025-09-24,646,646,0
PO-00000216,SUP-007,SKU-0001,WH-MAD,2025-09-24,2025-10-07,2025-10-07,665,638,0
PO-00000217,SUP-007,SKU-0001,WH-MAD,2025-10-02,2025-10-15,2025-10-23,674,657,1
PO-00000218,SUP-007,SKU-0001,WH-MAD,2025-10-10,2025-10-23,2025-10-22,650,646,0
PO-00000219,SUP-007,SKU-0001,WH-MAD,2025-10-25,2025-11-07,2025-11-03,649,634,0
PO-00000220,SUP-007,SKU-0001,WH-MAD,2025-11-02,2025-11-15,2025-11-20,722,710,1
PO-00000221,SUP-007,SKU-0001,WH-MAD,2025-11-10,2025-11-23,2025-11-21,701,700,0
PO-00000222,SUP-007,SKU-0001,WH-MAD,2025-11-25,2025-12-08,2025-12-03,729,717,0
PO-00000223,SUP-007,SKU-0001,WH-MAD,2025-12-02,2025-12-15,2025-12-13,709,702,0
PO-00000224,SUP-007,SKU-0001,WH-MAD,2025-12-08,2025-12-21,2025-12-20,692,689,0
PO-00000225,SUP-007,SKU-0001,WH-MAD,2025-12-17,2025-12-30,2026-01-03,670,656,1
PO-00000226,SUP-007,SKU-0001,WH-MAD,2025-12-24,2026-01-06,2026-01-05,733,715,0
PO-00000227,SUP-007,SKU-0001,WH-LYON,2024-01-07,2024-01-20,2024-01-20,519,519,0
PO-00000228,SUP-007,SKU-0001,WH-LYON,2024-01-16,2024-01-29,2024-01-31,540,526,1
PO-00000229,SUP-007,SKU-0001,WH-LYON,2024-01-26,2024-02-08,2024-02-12,577,575,1
PO-00000230,SUP-007,SKU-0001,WH-LYON,2024-02-05,2024-02-18,2024-02-15,552,534,0
PO-00000231,SUP-007,SKU-0001,WH-LYON,2024-02-17,2024-03-01,2024-03-01,553,551,0
PO-00000232,SUP-007,SKU-0001,WH-LYON,2024-02-25,2024-03-09,2024-03-09,519,519,0
PO-00000233,SUP-007,SKU-0001,WH-LYON,2024-03-06,2024-03-19,2024-03-19,551,537,0
PO-00000234,SUP-007,SKU-0001,WH-LYON,2024-03-14,2024-03-27,2024-03-28,522,514,1
PO-00000235,SUP-007,SKU-0001,WH-LYON,2024-03-22,2024-04-04,2024-04-02,535,530,0
PO-00000236,SUP-007,SKU-0001,WH-LYON,2024-04-01,2024-04-14,2024-04-15,517,501,1
PO-00000237,SUP-007,SKU-0001,WH-LYON,2024-04-09,2024-04-22,2024-04-26,531,519,1
PO-00000238,SUP-007,SKU-0001,WH-LYON,2024-04-18,2024-05-01,2024-05-05,577,577,1
PO-00000239,SUP-007,SKU-0001,WH-LYON,2024-04-30,2024-05-13,2024-05-08,552,552,0
PO-00000240,SUP-007,SKU-0001,WH-LYON,2024-05-10,2024-05-23,2024-05-27,528,511,1
PO-00000241,SUP-007,SKU-0001,WH-LYON,2024-05-19,2024-06-01,2024-05-29,542,525,0
PO-00000242,SUP-007,SKU-0001,WH-LYON,2024-05-31,2024-06-13,2024-06-15,557,539,1
PO-00000243,SUP-007,SKU-0001,WH-LYON,2024-06-07,2024-06-20,2024-06-23,531,531,1
PO-00000244,SUP-007,SKU-0001,WH-LYON,2024-06-19,2024-07-02,2024-06-30,572,568,0
PO-00000245,SUP-007,SKU-0001,WH-LYON,2024-06-27,2024-07-10,2024-07-12,553,543,1
PO-00000246,SUP-007,SKU-0001,WH-LYON,2024-07-04,2024-07-17,2024-07-22,521,521,1
PO-00000247,SUP-007,SKU-0001,WH-LYON,2024-07-15,2024-07-28,2024-07-28,509,499,0
PO-00000248,SUP-007,SKU-0001,WH-LYON,2024-07-25,2024-08-07,2024-08-05,570,554,0
PO-00000249,SUP-007,SKU-0001,WH-LYON,2024-08-01,2024-08-14,2024-08-23,508,496,1
PO-00000250,SUP-007,SKU-0001,WH-LYON,2024-08-08,2024-08-21,2024-08-28,534,525,1
PO-00000251,SUP-007,SKU-0001,WH-LYON,2024-08-26,2024-09-08,2024-09-06,528,516,0
PO-00000252,SUP-007,SKU-0001,WH-LYON,2024-09-03,2024-09-16,2024-09-17,554,543,1
PO-00000253,SUP-007,SKU-0001,WH-LYON,2024-09-10,2024-09-23,2024-09-23,523,521,0
PO-00000254,SUP-007,SKU-0001,WH-LYON,2024-09-21,2024-10-04,2024-10-02,531,521,0
PO-00000255,SUP-007,SKU-0001,WH-LYON,2024-09-29,2024-10-12,2024-10-13,532,520,1
