order_id,order_date,expected_delivery_date,product_id,supplier_id,warehouse_id,ordered_qty,unit_cost,expected_lead_time_days,realized_lead_time_days,received_qty,received_date,po_value
PO-0000020,2024-11-18,2024-11-21,SKU-001,SUP-02,WH-LIS,1446,19.43,5,3,1446,2024-11-21,28095.78
PO-0000021,2024-12-04,2024-12-09,SKU-001,SUP-02,WH-LIS,1454,19.43,5,5,1454,2024-12-09,28251.22
PO-0000022,2024-12-19,2024-12-24,SKU-001,SUP-02,WH-LIS,1390,19.43,5,5,1390,2024-12-24,27007.7
PO-0000023,2025-01-03,2025-01-07,SKU-001,SUP-02,WH-LIS,1392,19.43,5,4,1392,2025-01-07,27046.56
PO-0000024,2025-01-24,2025-01-27,SKU-001,SUP-02,WH-LIS,1419,19.43,5,3,1419,2025-01-27,27571.17
PO-0000025,2025-02-11,2025-02-19,SKU-001,SUP-02,WH-LIS,1429,19.43,5,8,1429,2025-02-19,27765.47
PO-0000026,2025-03-01,2025-03-05,SKU-001,SUP-02,WH-LIS,1376,19.43,5,4,1376,2025-03-05,26735.68
PO-0000027,2025-03-21,2025-03-26,SKU-001,SUP-02,WH-LIS,1424,19.43,5,5,1424,2025-03-26,27668.32
PO-0000028,2025-04-07,2025-04-11,SKU-001,SUP-02,WH-LIS,1461,19.43,5,4,1461,2025-04-11,28387.23
PO-0000029,2025-04-23,2025-04-29,SKU-001,SUP-02,WH-LIS,1403,19.43,5,6,1403,2025-04-29,27260.29
PO-0000030,2025-05-10,2025-05-15,SKU-001,SUP-02,WH-LIS,1407,19.43,5,5,1407,2025-05-15,27338.01
PO-0000031,2025-05-30,2025-05-31,SKU-001,SUP-02,WH-LIS,1458,19.43,5,1,1458,2025-05-31,28328.94
PO-0000032,2025-06-16,2025-06-21,SKU-001,SUP-02,WH-LIS,1447,19.43,5,5,1447,2025-06-21,28115.21
PO-0000033,2025-07-01,2025-07-07,SKU-001,SUP-02,WH-LIS,1372,19.43,5,6,1372,2025-07-07,26657.96
PO-0000034,2025-07-16,2025-07-20,SKU-001,SUP-02,WH-LIS,1386,19.43,5,4,1386,2025-07-20,26929.98
PO-0000035,2025-08-01,2025-08-07,SKU-001,SUP-02,WH-LIS,1417,19.43,5,6,1417,2025-08-07,27532.31
PO-0000036,2025-08-17,2025-08-21,SKU-001,SUP-02,WH-LIS,1368,19.43,5,4,1368,2025-08-21,26580.24
PO-0000037,2025-09-02,2025-09-08,SKU-001,SUP-02,WH-LIS,1433,19.43,5,6,1433,2025-09-08,27843.19
PO-0000038,2025-09-17,2025-09-21,SKU-001,SUP-02,WH-LIS,1440,19.43,5,4,1440,2025-09-21,27979.2
PO-0000039,2025-10-05,2025-10-10,SKU-001,SUP-02,WH-LIS,1367,19.43,5,5,1367,2025-10-10,26560.81
PO-0000040,2025-10-19,2025-10-25,SKU-001,SUP-02,WH-LIS,1402,19.43,5,6,1402,2025-10-25,27240.86
PO-0000041,2025-11-06,2025-11-10,SKU-001,SUP-02,WH-LIS,1382,19.43,5,4,1382,2025-11-10,26852.26
PO-0000042,2025-11-22,2025-11-25,SKU-001,SUP-02,WH-LIS,1403,19.43,5,3,1403,2025-11-25,27260.29
PO-0000043,2025-12-08,2025-12-14,SKU-001,SUP-02,WH-LIS,1451,19.43,5,6,1451,2025-12-14,28192.93
PO-0000044,2025-12-26,2025-12-31,SKU-001,SUP-02,WH-LIS,1441,19.43,5,5,1441,2025-12-31,27998.63
PO-0000045,2024-01-11,2024-01-14,SKU-001,SUP-02,WH-PORTO,694,19.43,5,3,694,2024-01-14,13484.42
PO-0000046,2024-01-23,2024-01-26,SKU-001,SUP-02,WH-PORTO,694,19.43,5,3,694,2024-01-26,13484.42
PO-0000047,2024-02-04,2024-02-09,SKU-001,SUP-02,WH-PORTO,656,19.43,5,5,656,2024-02-09,12746.08
PO-0000048,2024-02-15,2024-02-19,SKU-001,SUP-02,WH-PORTO,671,19.43,5,4,671,2024-02-19,13037.53
PO-0000049,2024-02-26,2024-03-02,SKU-001,SUP-02,WH-PORTO,678,19.43,5,5,678,2024-03-02,13173.54
PO-0000050,2024-03-06,2024-03-11,SKU-001,SUP-02,WH-PORTO,658,19.43,5,5,658,2024-03-11,12784.94
PO-0000051,2024-03-16,2024-03-21,SKU-001,SUP-02,WH-PORTO,703,19.43,5,5,703,2024-03-21,13659.29
PO-0000052,2024-03-25,2024-03-29,SKU-001,SUP-02,WH-PORTO,672,19.43,5,4,672,2024-03-29,13056.96
PO-0000053,2024-04-04,2024-04-05,SKU-001,SUP-02,WH-PORTO,688,19.43,5,1,688,2024-04-05,13367.84
PO-0000054,2024-04-14,2024-04-18,SKU-001,SUP-02,WH-PORTO,714,19.43,5,4,714,2024-04-18,13873.02
PO-0000055,2024-04-24,2024-05-01,SKU-001,SUP-02,WH-PORTO,722,19.43,5,7,722,2024-05-01,14028.46
PO-0000056,2024-05-06,2024-05-12,SKU-001,SUP-02,WH-PORTO,710,19.43,5,6,710,2024-05-12,13795.3
PO-0000057,2024-05-17,2024-05-23,SKU-001,SUP-02,WH-PORTO,691,19.43,5,6,691,2024-05-23,13426.13
PO-0000058,2024-05-29,2024-06-03,SKU-001,SUP-02,WH-PORTO,690,19.43,5,5,690,2024-06-03,13406.7
PO-0000059,2024-06-08,2024-06-13,SKU-001,SUP-02,WH-PORTO,680,19.43,5,5,680,2024-06-13,13212.4
PO-0000060,2024-06-18,2024-06-25,SKU-001,SUP-02,WH-PORTO,691,19.43,5,7,691,2024-06-25,13426.13
PO-0000061,2024-06-29,2024-07-02,SKU-001,SUP-02,WH-PORTO,704,19.43,5,3,704,2024-07-02,13678.72
PO-0000062,2024-07-08,2024-07-12,SKU-001,SUP-02,WH-PORTO,658,19.43,5,4,658,2024-07-12,12784.94
PO-0000063,2024-07-17,2024-07-25,SKU-001,SUP-02,WH-PORTO,680,19.43,5,8,680,2024-07-25,13212.4
PO-0000064,2024-07-29,2024-08-07,SKU-001,SUP-02,WH-PORTO,691,19.43,5,9,691,2024-08-07,13426.13
PO-0000065,2024-08-10,2024-08-11,SKU-001,SUP-02,WH-PORTO,697,19.43,5,1,697,2024-08-11,13542.71
PO-0000066,2024-08-19,2024-08-24,SKU-001,SUP-02,WH-PORTO,674,19.43,5,5,674,2024-08-24,13095.82
PO-0000067,2024-08-29,2024-09-02,SKU-001,SUP-02,WH-PORTO,658,19.43,5,4,658,2024-09-02,12784.94
PO-0000068,2024-09-09,2024-09-13,SKU-001,SUP-02,WH-PORTO,685,19.43,5,4,685,2024-09-13,13309.55
PO-0000069,2024-09-18,2024-09-24,SKU-001,SUP-02,WH-PORTO,669,19.43,5,6,669,2024-09-24,12998.67
PO-0000070,2024-09-27,2024-10-02,SKU-001,SUP-02,WH-PORTO,675,19.43,5,5,675,2024-10-02,13115.25
PO-0000071,2024-10-08,2024-10-11,SKU-001,SUP-02,WH-PORTO,686,19.43,5,3,686,2024-10-11,13328.98
PO-0000072,2024-10-18,2024-10-24,SKU-001,SUP-02,WH-PORTO,739,19.43,5,6,739,2024-10-24,14358.77
PO-0000073,2024-10-28,2024-11-02,SKU-001,SUP-02,WH-PORTO,686,19.43,5,5,686,2024-11-02,13328.98
PO-0000074,2024-11-06,2024-11-09,SKU-001,SUP-02,WH-PORTO,656,19.43,5,3,656,2024-11-09,12746.08
PO-0000075,2024-11-16,2024-11-23,SKU-001,SUP-02,WH-PORTO,694,19.43,5,7,694,2024-11-23,13484.42
PO-0000076,2024-11-28,2024-12-03,SKU-001,SUP-02,WH-PORTO,736,19.43,5,5,736,2024-12-03,14300.48
PO-0000077,2024-12-07,2024-12-08,SKU-001,SUP-02,WH-PORTO,711,19.43,5,1,711,2024-12-08,13814.73
PO-0000078,2024-12-17,2024-12-22,SKU-001,SUP-02,WH-PORTO,696,19.43,5,5,696,2024-12-22,13523.28
PO-0000079,2024-12-27,2025-01-03,SKU-001,SUP-02,WH-PORTO,698,19.43,5,7,698,2025-01-03,13562.14
PO-0000080,2025-01-10,2025-01-15,SKU-001,SUP-02,WH-PORTO,751,19.43,5,5,751,2025-01-15,14591.93
PO-0000081,2025-01-22,2025-01-27,SKU-001,SUP-02,WH-PORTO,678,19.43,5,5,678,2025-01-27,13173.54
PO-0000082,2025-02-01,2025-02-04,SKU-001,SUP-02,WH-PORTO,683,19.43,5,3,683,2025-02-04,13270.69
PO-0000083,2025-02-11,2025-02-16,SKU-001,SUP-02,WH-PORTO,658,19.43,5,5,658,2025-02-16,12784.94
PO-0000084,2025-02-21,2025-02-26,SKU-001,SUP-02,WH-PORTO,667,19.43,5,5,667,2025-02-26,12959.81
PO-0000085,2025-03-03,2025-03-06,SKU-001,SUP-02,WH-PORTO,682,19.43,5,3,682,2025-03-06,13251.26
PO-0000086,2025-03-12,2025-03-16,SKU-001,SUP-02,WH-PORTO,724,19.43,5,4,724,2025-03-16,14067.32
PO-0000087,2025-03-23,2025-03-27,SKU-001,SUP-02,WH-PORTO,659,19.43,5,4,659,2025-03-27,12804.37
PO-0000088,2025-04-02,2025-04-08,SKU-001,SUP-02,WH-PORTO,734,19.43,5,6,734,2025-04-08,14261.62
PO-0000089,2025-04-12,2025-04-15,SKU-001,SUP-02,WH-PORTO,701,19.43,5,3,701,2025-04-15,13620.43
PO-0000090,2025-04-22,2025-04-27,SKU-001,SUP-02,WH-PORTO,736,19.43,5,5,736,2025-04-27,14300.48
PO-0000091,2025-05-03,2025-05-08,SKU-001,SUP-02,WH-PORTO,709,19.43,5,5,709,2025-05-08,13775.87
PO-0000092,2025-05-14,2025-05-19,SKU-001,SUP-02,WH-PORTO,702,19.43,5,5,702,2025-05-19,13639.86
PO-0000093,2025-05-23,2025-05-29,SKU-001,SUP-02,WH-PORTO,670,19.43,5,6,670,2025-05-29,13018.1
PO-0000094,2025-06-02,2025-06-05,SKU-001,SUP-02,WH-PORTO,659,19.43,5,3,659,2025-06-05,12804.37
PO-0000095,2025-06-11,2025-06-16,SKU-001,SUP-02,WH-PORTO,702,19.43,5,5,702,2025-06-16,13639.86
PO-0000096,2025-06-20,2025-06-24,SKU-001,SUP-02,WH-PORTO,739,19.43,5,4,739,2025-06-24,14358.77
PO-0000097,2025-06-29,2025-07-05,SKU-001,SUP-02,WH-PORTO,720,19.43,5,6,720,2025-07-05,13989.6
PO-0000098,2025-07-09,2025-07-13,SKU-001,SUP-02,WH-PORTO,688,19.43,5,4,688,2025-07-13,13367.84
PO-0000099,2025-07-18,2025-07-24,SKU-001,SUP-02,WH-PORTO,663,19.43,5,6,663,2025-07-24,12882.09
PO-0000100,2025-07-26,2025-07-28,SKU-001,SUP-02,WH-PORTO,704,19.43,5,2,704,2025-07-28,13678.72
PO-0000101,2025-08-05,2025-08-11,SKU-001,SUP-02,WH-PORTO,665,19.43,5,6,665,2025-08-11,12920.95
PO-0000102,2025-08-15,2025-08-21,SKU-001,SUP-02,WH-PORTO,729,19.43,5,6,729,2025-08-21,14164.47
PO-0000103,2025-08-26,2025-08-31,SKU-001,SUP-02,WH-PORTO,688,19.43,5,5,688,2025-08-31,13367.84
PO-0000104,2025-09-04,2025-09-10,SKU-001,SUP-02,WH-PORTO,717,19.43,5,6,717,2025-09-10,13931.31
PO-0000105,2025-09-15,2025-09-19,SKU-001,SUP-02,WH-PORTO,696,19.43,5,4,696,2025-09-19,13523.28
PO-0000106,2025-09-25,2025-09-29,SKU-001,SUP-02,WH-PORTO,747,19.43,5,4,747,2025-09-29,14514.21
PO-0000107,2025-10-06,2025-10-09,SKU-001,SUP-02,WH-PORTO,711,19.43,5,3,711,2025-10-09,13814.73
PO-0000108,2025-10-16,2025-10-21,SKU-001,SUP-02,WH-PORTO,663,19.43,5,5,663,2025-10-21,12882.09
PO-0000109,2025-10-26,2025-10-28,SKU-001,SUP-02,WH-PORTO,709,19.43,5,2,709,2025-10-28,13775.87
PO-0000110,2025-11-05,2025-11-07,SKU-001,SUP-02,WH-PORTO,676,19.43,5,2,676,2025-11-07,13134.68
PO-0000111,2025-11-13,2025-11-19,SKU-001,SUP-02,WH-PORTO,748,19.43,5,6,748,2025-11-19,14533.64
PO-0000112,2025-11-22,2025-11-26,SKU-001,SUP-02,WH-PORTO,704,19.43,5,4,704,2025-11-26,13678.72
PO-0000113,2025-12-02,2025-12-07,SKU-001,SUP-02,WH-PORTO,711,19.43,5,5,711,2025-12-07,13814.73
PO-0000114,2025-12-10,2025-12-18,SKU-001,SUP-02,WH-PORTO,696,19.43,5,8,696,2025-12-18,13523.28
PO-0000115,2025-12-21,2025-12-25,SKU-001,SUP-02,WH-PORTO,690,19.43,5,4,690,2025-12-25,13406.7
PO-0000116,2025-12-29,2026-01-04,SKU-001,SUP-02,WH-PORTO,720,19.43,5,6,720,2026-01-04,13989.6
PO-0000117,2024-01-11,2024-01-13,SKU-001,SUP-02,WH-MAD,723,19.43,5,2,723,2024-01-13,14047.89
PO-0000118,2024-01-21,2024-01-28,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2024-01-28,14047.89
PO-0000119,2024-02-03,2024-02-08,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2024-02-08,14047.89
PO-0000120,2024-02-16,2024-02-20,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2024-02-20,14047.89
PO-0000121,2024-02-29,2024-03-01,SKU-001,SUP-02,WH-MAD,723,19.43,5,1,723,2024-03-01,14047.89
PO-0000122,2024-03-14,2024-03-18,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2024-03-18,14047.89
PO-0000123,2024-03-24,2024-03-29,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2024-03-29,14047.89
PO-0000124,2024-04-04,2024-04-08,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2024-04-08,14047.89
PO-0000125,2024-04-14,2024-04-18,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2024-04-18,14047.89
PO-0000126,2024-04-28,2024-05-03,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2024-05-03,14047.89
PO-0000127,2024-05-09,2024-05-14,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2024-05-14,14047.89
PO-0000128,2024-05-20,2024-05-25,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2024-05-25,14047.89
PO-0000129,2024-05-30,2024-06-05,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2024-06-05,14047.89
PO-0000130,2024-06-09,2024-06-15,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2024-06-15,14047.89
PO-0000131,2024-06-20,2024-06-27,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2024-06-27,14047.89
PO-0000132,2024-07-02,2024-07-08,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2024-07-08,14047.89
PO-0000133,2024-07-14,2024-07-16,SKU-001,SUP-02,WH-MAD,723,19.43,5,2,723,2024-07-16,14047.89
PO-0000134,2024-07-22,2024-07-26,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2024-07-26,14047.89
PO-0000135,2024-07-31,2024-08-06,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2024-08-06,14047.89
PO-0000136,2024-08-10,2024-08-15,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2024-08-15,14047.89
PO-0000137,2024-08-20,2024-08-25,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2024-08-25,14047.89
PO-0000138,2024-08-30,2024-09-05,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2024-09-05,14047.89
PO-0000139,2024-09-12,2024-09-19,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2024-09-19,14047.89
PO-0000140,2024-09-24,2024-10-01,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2024-10-01,14047.89
PO-0000141,2024-10-06,2024-10-11,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2024-10-11,14047.89
PO-0000142,2024-10-17,2024-10-21,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2024-10-21,14047.89
PO-0000143,2024-10-29,2024-11-04,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2024-11-04,14047.89
PO-0000144,2024-11-08,2024-11-11,SKU-001,SUP-02,WH-MAD,723,19.43,5,3,723,2024-11-11,14047.89
PO-0000145,2024-11-20,2024-11-25,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2024-11-25,14047.89
PO-0000146,2024-11-29,2024-11-30,SKU-001,SUP-02,WH-MAD,723,19.43,5,1,723,2024-11-30,14047.89
PO-0000147,2024-12-09,2024-12-16,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2024-12-16,14047.89
PO-0000148,2024-12-20,2024-12-23,SKU-001,SUP-02,WH-MAD,723,19.43,5,3,723,2024-12-23,14047.89
PO-0000149,2024-12-30,2025-01-05,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2025-01-05,14047.89
PO-0000150,2025-01-11,2025-01-18,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2025-01-18,14047.89
PO-0000151,2025-01-24,2025-01-30,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2025-01-30,14047.89
PO-0000152,2025-02-04,2025-02-11,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2025-02-11,14047.89
PO-0000153,2025-02-16,2025-02-20,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2025-02-20,14047.89
PO-0000154,2025-02-28,2025-03-08,SKU-001,SUP-02,WH-MAD,723,19.43,5,8,723,2025-03-08,14047.89
PO-0000155,2025-03-13,2025-03-16,SKU-001,SUP-02,WH-MAD,723,19.43,5,3,723,2025-03-16,14047.89
PO-0000156,2025-03-23,2025-03-29,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2025-03-29,14047.89
PO-0000157,2025-04-03,2025-04-09,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2025-04-09,14047.89
PO-0000158,2025-04-13,2025-04-17,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2025-04-17,14047.89
PO-0000159,2025-04-24,2025-04-30,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2025-04-30,14047.89
PO-0000160,2025-05-08,2025-05-14,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2025-05-14,14047.89
PO-0000161,2025-05-19,2025-05-23,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2025-05-23,14047.89
PO-0000162,2025-06-01,2025-06-06,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2025-06-06,14047.89
PO-0000163,2025-06-10,2025-06-18,SKU-001,SUP-02,WH-MAD,723,19.43,5,8,723,2025-06-18,14047.89
PO-0000164,2025-06-23,2025-06-29,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2025-06-29,14047.89
PO-0000165,2025-07-03,2025-07-08,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2025-07-08,14047.89
PO-0000166,2025-07-13,2025-07-14,SKU-001,SUP-02,WH-MAD,723,19.43,5,1,723,2025-07-14,14047.89
PO-0000167,2025-07-24,2025-07-27,SKU-001,SUP-02,WH-MAD,723,19.43,5,3,723,2025-07-27,14047.89
PO-0000168,2025-08-03,2025-08-07,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2025-08-07,14047.89
PO-0000169,2025-08-13,2025-08-20,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2025-08-20,14047.89
PO-0000170,2025-08-25,2025-09-01,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2025-09-01,14047.89
PO-0000171,2025-09-05,2025-09-09,SKU-001,SUP-02,WH-MAD,723,19.43,5,4,723,2025-09-09,14047.89
PO-0000172,2025-09-16,2025-09-21,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2025-09-21,14047.89
PO-0000173,2025-09-28,2025-10-03,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2025-10-03,14047.89
PO-0000174,2025-10-09,2025-10-16,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2025-10-16,14047.89
PO-0000175,2025-10-21,2025-10-30,SKU-001,SUP-02,WH-MAD,723,19.43,5,9,723,2025-10-30,14047.89
PO-0000176,2025-11-04,2025-11-06,SKU-001,SUP-02,WH-MAD,723,19.43,5,2,723,2025-11-06,14047.89
PO-0000177,2025-11-16,2025-11-23,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2025-11-23,14047.89
PO-0000178,2025-11-28,2025-12-05,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2025-12-05,14047.89
PO-0000179,2025-12-08,2025-12-13,SKU-001,SUP-02,WH-MAD,723,19.43,5,5,723,2025-12-13,14047.89
PO-0000180,2025-12-18,2025-12-24,SKU-001,SUP-02,WH-MAD,723,19.43,5,6,723,2025-12-24,14047.89
PO-0000181,2025-12-29,2026-01-05,SKU-001,SUP-02,WH-MAD,723,19.43,5,7,723,2026-01-05,14047.89
PO-0000182,2024-01-07,2024-01-17,SKU-002,SUP-07,WH-LIS,1798,9.53,10,10,1798,2024-01-17,17134.94
PO-0000183,2024-02-02,2024-02-13,SKU-002,SUP-07,WH-LIS,1798,9.53,10,11,1798,2024-02-13,17134.94
PO-0000184,2024-03-01,2024-03-11,SKU-002,SUP-07,WH-LIS,1798,9.53,10,10,1798,2024-03-11,17134.94
PO-0000185,2024-03-24,2024-04-01,SKU-002,SUP-07,WH-LIS,1798,9.53,10,8,1798,2024-04-01,17134.94
PO-0000186,2024-04-17,2024-04-27,SKU-002,SUP-07,WH-LIS,1798,9.53,10,10,1798,2024-04-27,17134.94
PO-0000187,2024-05-13,2024-05-24,SKU-002,SUP-07,WH-LIS,1798,9.53,10,11,1798,2024-05-24,17134.94
PO-0000188,2024-06-04,2024-06-17,SKU-002,SUP-07,WH-LIS,1798,9.53,10,13,1798,2024-06-17,17134.94
PO-0000189,2024-06-27,2024-07-06,SKU-002,SUP-07,WH-LIS,1798,9.53,10,9,1798,2024-07-06,17134.94
PO-0000190,2024-07-20,2024-07-31,SKU-002,SUP-07,WH-LIS,1798,9.53,10,11,1798,2024-07-31,17134.94
PO-0000191,2024-08-15,2024-08-25,SKU-002,SUP-07,WH-LIS,1798,9.53,10,10,1798,2024-08-25,17134.94
PO-0000192,2024-09-10,2024-09-21,SKU-002,SUP-07,WH-LIS,1798,9.53,10,11,1798,2024-09-21,17134.94
PO-0000193,2024-10-03,2024-10-11,SKU-002,SUP-07,WH-LIS,1798,9.53,10,8,1798,2024-10-11,17134.94
PO-0000194,2024-10-25,2024-11-05,SKU-002,SUP-07,WH-LIS,1798,9.53,10,11,1798,2024-11-05,17134.94
PO-0000195,2024-11-17,2024-11-27,SKU-002,SUP-07,WH-LIS,1798,9.53,10,10,1798,2024-11-27,17134.94
PO-0000196,2024-12-07,2024-12-17,SKU-002,SUP-07,WH-LIS,1798,9.53,10,10,1798,2024-12-17,17134.94
PO-0000197,2024-12-27,2025-01-07,SKU-002,SUP-07,WH-LIS,1798,9.53,10,11,1798,2025-01-07,17134.94
PO-0000198,2025-01-22,2025-02-03,SKU-002,SUP-07,WH-LIS,1798,9.53,10,12,1798,2025-02-03,17134.94
PO-0000199,2025-02-16,2025-02-26,SKU-002,SUP-07,WH-LIS,1798,9.53,10,10,1798,2025-02-26,17134.94
PO-0000200,2025-03-11,2025-03-21,SKU-002,SUP-07,WH-LIS,1798,9.53,10,10,1798,2025-03-21,17134.94
PO-0000201,2025-04-04,2025-04-13,SKU-002,SUP-07,WH-LIS,1798,9.53,10,9,1798,2025-04-13,17134.94
PO-0000202,2025-04-27,2025-05-05,SKU-002,SUP-07,WH-LIS,1798,9.53,10,8,1798,2025-05-05,17134.94
PO-0000203,2025-05-21,2025-06-01,SKU-002,SUP-07,WH-LIS,1798,9.53,10,11,1798,2025-06-01,17134.94
PO-0000204,2025-06-14,2025-06-23,SKU-002,SUP-07,WH-LIS,1798,9.53,10,9,1798,2025-06-23,17134.94
PO-0000205,2025-07-07,2025-07-17,SKU-002,SUP-07,WH-LIS,1798,9.53,10,10,1798,2025-07-17,17134.94
PO-0000206,2025-07-28,2025-08-06,SKU-002,SUP-07,WH-LIS,1798,9.53,10,9,1798,2025-08-06,17134.94
PO-0000207,2025-08-20,2025-08-31,SKU-002,SUP-07,WH-LIS,1798,9.53,10,11,1798,2025-08-31,17134.94
PO-0000208,2025-09-12,2025-09-21,SKU-002,SUP-07,WH-LIS,1798,9.53,10,9,1798,2025-09-21,17134.94
PO-0000209,2025-10-07,2025-10-16,SKU-002,SUP-07,WH-LIS,1798,9.53,10,9,1798,2025-10-16,17134.94
PO-0000210,2025-10-30,2025-11-09,SKU-002,SUP-07,WH-LIS,1798,9.53,10,10,1798,2025-11-09,17134.94
PO-0000211,2025-11-23,2025-12-01,SKU-002,SUP-07,WH-LIS,1798,9.53,10,8,1798,2025-12-01,17134.94
PO-0000212,2025-12-14,2025-12-23,SKU-002,SUP-07,WH-LIS,1798,9.53,10,9,1798,2025-12-23,17134.94
