product_id,category,avg_inventory_value,value_rank,rank_percentile,cumulative_inventory_value,total_inventory_value,cumulative_value_share
SKU-0052,Household,13399.451874145,19,0.15833333333333333,474740.65023939783,1020481.4325820785,0.4652124331534213
SKU-0064,Health,13044.257647058821,20,0.16666666666666666,487784.90788645664,1020481.4325820785,0.47799488781705346
SKU-0055,Pet Care,12391.365287277727,21,0.175,500176.2731737344,1020481.4325820785,0.4901375539074344
SKU-0029,Frozen,12217.634227086188,22,0.18333333333333332,512393.9074008206,1020481.4325820785,0.5021099757830314
SKU-0037,Frozen,11919.41597811217,23,0.19166666666666668,524313.3233789328,1020481.4325820785,0.5137901647581047
SKU-0007,Pet Care,11846.494145006864,24,0.2,536159.8175239397,1020481.4325820785,0.525398895467719
SKU-0044,Household,11762.51023255815,25,0.20833333333333334,547922.3277564978,1020481.4325820785,0.5369253278524769
SKU-0120,Health,11564.534008207904,26,0.21666666666666667,559486.8617647056,1020481.4325820785,0.5482577574675328
SKU-0119,Pet Care,11437.167804377556,27,0.225,570924.0295690831,1020481.4325820785,0.5594653771646777
SKU-0033,Beverages,11258.019613543076,28,0.23333333333333334,582182.0491826262,1020481.4325820785,0.570497444240173
SKU-0108,Household,11177.889569083447,29,0.24166666666666667,593359.9387517096,1020481.4325820785,0.5814509895102722
SKU-0113,Beverages,10922.592954856329,30,0.25,604282.531706566,1020481.4325820785,0.5921543620618133
SKU-0027,Personal Care,10590.797551299584,31,0.25833333333333336,614873.3292578656,1020481.4325820785,0.6025325984639222
SKU-0072,Health,10385.732554719581,32,0.26666666666666666,625259.0618125852,1020481.4325820785,0.61270988559833
SKU-0022,Dairy,10032.005827633402,33,0.275,635291.0676402187,1020481.4325820785,0.6225405454293961
SKU-0107,Personal Care,9602.637455540358,34,0.2833333333333333,644893.705095759,1020481.4325820785,0.6319504544673716
SKU-0012,Household,9435.755964432292,35,0.2916666666666667,654329.4610601913,1020481.4325820785,0.6411968313863102
SKU-0103,Pet Care,9311.490082079343,36,0.3,663640.9511422706,1020481.4325820785,0.6503214364842382
SKU-0092,Household,9235.478235294104,37,0.30833333333333335,672876.4293775647,1020481.4325820785,0.6593715553207231
SKU-0111,Pet Care,9187.92769493844,38,0.31666666666666665,682064.3570725032,1020481.4325820785,0.6683750779734485
SKU-0043,Personal Care,9053.110978112154,39,0.325,691117.4680506154,1020481.4325820785,0.6772464897297659
SKU-0039,Pet Care,8958.017065663504,40,0.3333333333333333,700075.4851162789,1020481.4325820785,0.6860247161429573
SKU-0014,Dairy,8817.911963064309,41,0.3416666666666667,708893.3970793432,1020481.4325820785,0.6946656494137889
SKU-0054,Dairy,8298.960396716846,42,0.35,717192.35747606,1020481.4325820785,0.702798046664485
SKU-0100,Household,8143.7566928864535,43,0.35833333333333334,725336.1141689465,1020481.4325820785,0.7107783552059943
SKU-0085,Frozen,7795.797729138148,44,0.36666666666666664,733131.9118980847,1020481.4325820785,0.7184176884463971
SKU-0021,Frozen,7751.155403556776,45,0.375,740883.0673016415,1020481.4325820785,0.7260132753488892
SKU-0023,Pet Care,7668.899274965798,46,0.38333333333333336,748551.9665766072,1020481.4325820785,0.7335282570331335
SKU-0065,Beverages,7607.916388508876,47,0.39166666666666666,756159.8829651161,1020481.4325820785,0.7409834797795767
SKU-0051,Personal Care,7503.918604651136,48,0.4,763663.8015697672,1020481.4325820785,0.7483367920154146
SKU-0010,Snacks,7323.151915184681,49,0.4083333333333333,770986.9534849519,1020481.4325820785,0.7555129656148256
SKU-0091,Personal Care,7277.341552667564,50,0.4166666666666667,778264.2950376194,1020481.4325820785,0.7626442482823153
SKU-0109,Frozen,7123.188077975382,51,0.425,785387.4831155948,1020481.4325820785,0.7696244713912765
SKU-0087,Pet Care,6609.810861833097,52,0.43333333333333335,791997.2939774279,1020481.4325820785,0.7761016209510766
SKU-0041,Beverages,6287.740492476064,53,0.44166666666666665,798285.0344699039,1020481.4325820785,0.7822631642106794
SKU-0018,Snacks,6141.86497264021,54,0.45,804426.8994425441,1020481.4325820785,0.7882817597250532
SKU-0067,Personal Care,5940.618447332414,55,0.4583333333333333,810367.5178898765,1020481.4325820785,0.7941031478048942
SKU-0073,Beverages,5824.488970588237,56,0.4666666666666667,816192.0068604647,1020481.4325820785,0.799810737168721
SKU-0002,Snacks,5696.209575923391,57,0.475,821888.2164363881,1020481.4325820785,0.8053926217518736
SKU-0096,Health,5633.173679890565,58,0.48333333333333334,827521.3901162787,1020481.4325820785,0.8109127355922962
SKU-0116,Household,5555.814719562252,59,0.49166666666666664,833077.204835841,1020481.4325820785,0.8163570430947901
SKU-0101,Frozen,5271.323936388497,60,0.5,838348.5287722294,1020481.4325820785,0.8215225696473415
SKU-0006,Dairy,5270.006737346104,61,0.5083333333333333,843618.5355095755,1020481.4325820785,0.8266868054375133
SKU-0079,Pet Care,5202.771569767441,62,0.5166666666666667,848821.3070793429,1020481.4325820785,0.8317851554943124
SKU-0025,Beverages,5155.420629274954,63,0.525,853976.7277086178,1020481.4325820785,0.8368371049611738
SKU-0015,Pet Care,5111.368194254447,64,0.5333333333333333,859088.0959028725,1020481.4325820785,0.8418458861413679
SKU-0104,Health,5094.856569767437,65,0.5416666666666666,864182.95247264,1020481.4325820785,0.8468384870913688
SKU-0077,Frozen,5042.022913816692,66,0.55,869224.9753864567,1020481.4325820785,0.8517793147760617
SKU-0061,Frozen,4997.750786593704,67,0.5583333333333333,874222.7261730504,1020481.4325820785,0.856676758891187
SKU-0019,Personal Care,4995.081258549942,68,0.5666666666666667,879217.8074316003,1020481.4325820785,0.8615715870566648
SKU-0112,Health,4748.585978112161,69,0.575,883966.3934097125,1020481.4325820785,0.8662248671914117
SKU-0060,Household,4699.393912448702,70,0.5833333333333334,888665.7873221611,1020481.4325820785,0.8708299425630998
SKU-0034,Snacks,4602.422031463746,71,0.5916666666666667,893268.2093536248,1020481.4325820785,0.8753399923146356
SKU-0098,Snacks,4400.480242818059,72,0.6,897668.6895964429,1020481.4325820785,0.8796521533224881
SKU-0099,Personal Care,4276.946135430929,73,0.6083333333333333,901945.6357318738,1020481.4325820785,0.883843259597307
SKU-0097,Beverages,4191.59438098495,74,0.6166666666666667,906137.2301128587,1020481.4325820785,0.8879507271583572
SKU-0059,Personal Care,4114.741751025987,75,0.625,910251.9718638847,1020481.4325820785,0.8919828845496138
SKU-0083,Personal Care,3961.7622708618264,76,0.6333333333333333,914213.7341347465,1020481.4325820785,0.8958651328143741
SKU-0013,Frozen,3958.1455198358412,77,0.6416666666666667,918171.8796545824,1020481.4325820785,0.8997438369176136
SKU-0050,Snacks,3947.3079069767423,78,0.65,922119.1875615591,1020481.4325820785,0.9036119209228161
SKU-0038,Dairy,3936.6911935704534,79,0.6583333333333333,926055.8787551296,1020481.4325820785,0.9074696012959019
SKU-0068,Household,3692.857154582765,80,0.6666666666666666,929748.7359097124,1020481.4325820785,0.9110883414676255
SKU-0114,Snacks,3629.3029274965634,81,0.675,933378.038837209,1020481.4325820785,0.9146448029686579
SKU-0084,Household,3600.4783173734572,82,0.6833333333333333,936978.5171545824,1020481.4325820785,0.9181730183799499
SKU-0063,Pet Care,3595.4871477428105,83,0.6916666666666667,940574.0043023252,1020481.4325820785,0.9216963427961966
SKU-0069,Frozen,3589.02249316005,84,0.7,944163.0267954853,1020481.4325820785,0.9252133323058234
SKU-0102,Dairy,3383.5317886456905,85,0.7083333333333334,947546.558584131,1020481.4325820785,0.9285289553839272
SKU-0028,Household,3331.209336525306,86,0.7166666666666667,950877.7679206562,1020481.4325820785,0.9317933061405074
SKU-0093,Frozen,3249.4527906976755,87,0.725,954127.2207113539,1020481.4325820785,0.9349775412347959
SKU-0106,Snacks,3217.288139534887,88,0.7333333333333333,957344.5088508888,1020481.4325820785,0.9381302572341398
SKU-0105,Beverages,3191.747585499319,89,0.7416666666666667,960536.2564363881,1020481.4325820785,0.9412579452876337
SKU-0042,Snacks,3171.628235294123,90,0.75,963707.8846716823,1020481.4325820785,0.9443659177935804
SKU-0032,Health,3047.5569083447367,91,0.7583333333333333,966755.441580027,1020481.4325820785,0.9473523091291225
SKU-0046,Dairy,3039.53720930232,92,0.7666666666666667,969794.9787893293,1020481.4325820785,0.9503308417238915
SKU-0090,Snacks,2971.7905335157343,93,0.775,972766.769322845,1020481.4325820785,0.9532429873432354
SKU-0074,Snacks,2878.6003967168263,94,0.7833333333333333,975645.3697195619,1020481.4325820785,0.9560638131856354
SKU-0081,Beverages,2738.135687414501,95,0.7916666666666666,978383.5054069764,1020481.4325820785,0.9587469934964092
SKU-0075,Personal Care,2610.810984952123,96,0.8,980994.3163919285,1020481.4325820785,0.9613054045576924
SKU-0071,Pet Care,2604.387681258547,97,0.8083333333333333,983598.704073187,1020481.4325820785,0.9638575212333175
SKU-0053,Frozen,2594.7003796169606,98,0.8166666666666667,986193.4044528039,1020481.4325820785,0.9664001450349595
SKU-0035,Personal Care,2543.7326196990434,99,0.825,988737.137072503,1020481.4325820785,0.9688928240181163
SKU-0115,Personal Care,2492.011969904238,100,0.8333333333333334,991229.1490424072,1020481.4325820785,0.9713348204036838
SKU-0118,Dairy,2489.6372093023238,101,0.8416666666666667,993718.7862517094,1020481.4325820785,0.9737744896909563
SKU-0062,Dairy,2417.7306155950823,102,0.85,996136.5168673046,1020481.4325820785,0.9761436955759449
SKU-0005,Frozen,2410.641648426812,103,0.8583333333333333,998547.1585157313,1020481.4325820785,0.9785059547719082
SKU-0110,Dairy,1921.6960875512993,104,0.8666666666666667,1000468.8546032826,1020481.4325820785,0.980389081721792
SKU-0001,Beverages,1837.2063987688132,105,0.875,1002306.0610020515,1020481.4325820785,0.9821894147215998
SKU-0057,Beverages,1823.4164671682593,106,0.8833333333333333,1004129.4774692197,1020481.4325820785,0.9839762345587375
SKU-0058,Snacks,1755.1900957592406,107,0.8916666666666667,1005884.6675649789,1020481.4325820785,0.9856961973524927
SKU-0078,Dairy,1712.7152941176473,108,0.9,1007597.3828590966,1020481.4325820785,0.9873745378292852
SKU-0076,Household,1707.9440902872811,109,0.9083333333333333,1009305.326949384,1020481.4325820785,0.9890482028620392
SKU-0030,Dairy,1469.124500683995,110,0.9166666666666666,1010774.4514500679,1020481.4325820785,0.9904878415009968
SKU-0089,Beverages,1276.6624247606035,111,0.925,1012051.1138748286,1020481.4325820785,0.99173888084772
SKU-0117,Frozen,1250.3533584131355,112,0.9333333333333333,1013301.4672332418,1020481.4325820785,0.9929641391606023
SKU-0045,Frozen,1153.8898939808498,113,0.9416666666666667,1014455.3571272226,1020481.4325820785,0.9940948700657802
SKU-0094,Dairy,1126.2041552667604,114,0.95,1015581.5612824893,1020481.4325820785,0.9951984708950644
SKU-0049,Beverages,1093.082185362518,115,0.9583333333333334,1016674.6434678518,1020481.4325820785,0.996269614524397
SKU-0086,Dairy,1075.7132147742816,116,0.9666666666666667,1017750.3566826261,1020481.4325820785,0.9973237377846825
SKU-0070,Dairy,779.6772913816695,117,0.975,1018530.0339740077,1020481.4325820785,0.9980877666699596
SKU-0082,Snacks,667.3328454172362,118,0.9833333333333333,1019197.3668194249,1020481.4325820785,0.9987417059030613
SKU-0026,Snacks,661.795174418607,119,0.9916666666666667,1019859.1619938435,1020481.4325820785,0.9993902186082303
SKU-0066,Snacks,622.2705882352946,120,1.0,1020481.4325820789,1020481.4325820785,1.0000000000000004
