entity_type,entity_id,entity_name,service_risk_score,stockout_risk_score,excess_inventory_score,supplier_risk_score,working_capital_risk_score,governance_priority_score,risk_tier,main_risk_driver,recommended_action,lost_sales_revenue,inventory_value_sum
sku_warehouse,SKU-0037|WH-LYON,SKU-0037 @ WH-LYON,92.16556564809594,92.16556564809594,2.549467471003848,98.25809170536029,3.1868343387548097,59.175483871448364,High,Supplier Risk,investigate supplier reliability and qualify backup source,196432.66,5493166.0
sku_warehouse,SKU-0037|WH-PORTO,SKU-0037 @ WH-PORTO,86.12657126048934,88.29744709704752,9.547685876684962,98.25809170536029,5.7017072090573,58.90679375639795,High,Supplier Risk,investigate supplier reliability and qualify backup source,169770.37,8891556.32
sku_warehouse,SKU-0031|WH-LYON,SKU-0031 @ WH-LYON,82.73153743530827,95.23153743530827,5.535522924999562,98.25809170536029,6.919403656249451,58.825043906974265,High,Supplier Risk,investigate supplier reliability and qualify backup source,554283.15,11226651.68
supplier,SUP-001,Supplier 1,63.85703869646283,70.93353159507001,37.68108737830658,95.15844504508887,24.8092720351052,58.673176500989,High,Supplier Risk,investigate supplier reliability and execute corrective action plan,1728471.68,257676427.68
sku_warehouse,SKU-0037|WH-MAD,SKU-0037 @ WH-MAD,87.84798777929161,91.5286074405827,4.117126475213433,98.25809170536029,5.146408094016791,58.649712864029404,High,Supplier Risk,investigate supplier reliability and qualify backup source,203319.85,7994569.52
sku_warehouse,SKU-0077|WH-MAD,SKU-0077 @ WH-MAD,90.91598251245132,90.91598251245132,0.27024597331947203,98.25809170536029,3.5799415295768364,58.10869747632268,High,Supplier Risk,investigate supplier reliability and qualify backup source,128705.85,3183295.78
sku_warehouse,SKU-0047|WH-MAD,SKU-0047 @ WH-MAD,81.86659772641312,94.36659772641312,4.668323481912975,98.25809170536029,5.835404352391219,58.06728387200157,High,Supplier Risk,investigate supplier reliability and qualify backup source,413653.1,9122145.76
sku_warehouse,SKU-0077|WH-PORTO,SKU-0077 @ WH-PORTO,91.08227025122417,91.08227025122417,0.7201367895179888,98.25809170536029,1.9037775034998983,58.05850066839507,High,Supplier Risk,investigate supplier reliability and qualify backup source,136154.76,3545252.9
sku_warehouse,SKU-0047|WH-PORTO,SKU-0047 @ WH-PORTO,79.3318308256919,93.90390264889632,6.349601463762742,98.2580917053603,7.937001829703427,58.05487726124243,High,Supplier Risk,investigate supplier reliability and qualify backup source,353709.93,13642095.64
sku_warehouse,SKU-0031|WH-PORTO,SKU-0031 @ WH-PORTO,77.7434310459449,90.0521873948769,10.571557149299704,98.25809170536029,9.033529883957051,57.99306725034325,High,Supplier Risk,investigate supplier reliability and qualify backup source,421960.59,16829697.6
sku_warehouse,SKU-0055|WH-MAD,SKU-0055 @ WH-MAD,82.50086685337685,95.00086685337685,4.209929741598116,96.02684642340185,5.262412176997644,57.811815023060866,High,Supplier Risk,investigate supplier reliability and qualify backup source,512668.5,8174154.16
sku_warehouse,SKU-0047|WH-LYON,SKU-0047 @ WH-LYON,81.8035372770783,94.3035372770783,3.8339406422838134,98.25809170536027,4.792425802854766,57.692007186861446,High,Supplier Risk,investigate supplier reliability and qualify backup source,404920.81,7470597.7
segment,Pet Care | France South-East,Pet Care | France South-East,77.65281147838033,84.53436994087596,26.191748972420424,72.0040119301662,18.698263092365064,57.65865463694259,High,Stockout Risk,raise safety stock for critical SKUs and protect promotion allocation,2047476.07,83877218.94
sku_warehouse,SKU-0046|WH-PORTO,SKU-0046 @ WH-PORTO,88.49436754682563,89.5992170103114,3.8919288645690826,96.02684642340185,0.0,57.24883430874753,High,Supplier Risk,investigate supplier reliability and qualify backup source,82434.87999999999,2418815.88
sku_warehouse,SKU-0055|WH-LYON,SKU-0055 @ WH-LYON,81.75242142257599,94.25242142257599,3.682623300910789,96.02684642340185,4.603279126138486,57.24869795200724,High,Supplier Risk,investigate supplier reliability and qualify backup source,397978.0,7204843.32
sku_warehouse,SKU-0005|WH-MAD,SKU-0005 @ WH-MAD,90.15184854133345,90.15184854133345,0.0,98.25809170536029,0.0,57.19114500187103,High,Supplier Risk,investigate supplier reliability and qualify backup source,99383.76000000001,1509916.08
sku_warehouse,SKU-0030|WH-LYON,SKU-0030 @ WH-LYON,86.82800944840037,86.82800944840037,6.354309165526674,98.25809170536029,0.0,57.18721321884822,High,Supplier Risk,investigate supplier reliability and qualify backup source,32277.96,1016707.5
sku_warehouse,SKU-0055|WH-PORTO,SKU-0055 @ WH-PORTO,80.9047518721469,93.4047518721469,4.437186393030323,96.02684642340185,5.546482991287903,57.17191364203944,High,Supplier Risk,investigate supplier reliability and qualify backup source,298745.5,8631141.02
sku_warehouse,SKU-0046|WH-LIS,SKU-0046 @ WH-LIS,89.4781214442227,90.10005221035713,2.113543091655266,96.02684642340185,0.0,57.168306402633576,High,Supplier Risk,investigate supplier reliability and qualify backup source,97657.23,2581263.48
sku_warehouse,SKU-0005|WH-LYON,SKU-0005 @ WH-LYON,89.69401600574761,89.69401600574761,0.60875512995896,98.25809170536029,0.0,57.1266432666917,High,Supplier Risk,investigate supplier reliability and qualify backup source,85121.82,1249162.94
sku_warehouse,SKU-0031|WH-MAD,SKU-0031 @ WH-MAD,76.62588896531209,90.7295333757993,7.179587515820306,98.25809170536029,8.974484394775383,57.05153418627381,High,Supplier Risk,investigate supplier reliability and qualify backup source,487088.10000000003,16640472.8
segment,Frozen | France South-East,Frozen | France South-East,80.25474165933349,80.27677413004278,22.002626868092772,76.61299582509938,17.701590180481386,56.93896071247501,High,Stockout Risk,raise safety stock for critical SKUs and protect promotion allocation,743755.65,44501593.09
sku_warehouse,SKU-0046|WH-LYON,SKU-0046 @ WH-LYON,90.19765044888601,90.19765044888601,0.19835841313269453,96.02684642340185,0.0,56.902820653383706,High,Supplier Risk,investigate supplier reliability and qualify backup source,100935.89,1942488.84
sku_warehouse,SKU-0046|WH-MAD,SKU-0046 @ WH-MAD,90.07741401390284,90.07741401390284,0.0,96.02684642340185,0.0,56.7999058741396,High,Supplier Risk,investigate supplier reliability and qualify backup source,96912.08,1945038.6
sku_warehouse,SKU-0031|WH-LIS,SKU-0031 @ WH-LIS,71.86520058307381,81.8325501261177,17.442056766094463,98.2580917053603,10.781709124512743,56.667636741835715,High,Supplier Risk,investigate supplier reliability and qualify backup source,415697.16000000003,23521638.56
segment,Health | Portugal South,Health | Portugal South,61.31203345672711,65.25615167406212,48.360680329089114,70.07650393383062,33.30033006014249,56.55209151472241,High,Supplier Risk,review sourcing mix and supplier dependency for this segment,2847394.21,255013465.39
sku_warehouse,SKU-0048|WH-PORTO,SKU-0048 @ WH-PORTO,83.12847845504446,78.87650921744505,8.108715151546027,98.25809170536029,10.135893939432535,56.39007831779784,High,Supplier Risk,investigate supplier reliability and qualify backup source,427335.3,20785328.82
sku_warehouse,SKU-0030|WH-LIS,SKU-0030 @ WH-LIS,87.27474048333904,87.27474048333904,1.8399452804377558,98.2580917053603,0.0,56.309262162498676,High,Supplier Risk,investigate supplier reliability and qualify backup source,37544.759999999995,1349228.34
sku_warehouse,SKU-0030|WH-MAD,SKU-0030 @ WH-MAD,88.01065305328426,88.01065305328426,0.0,98.25809170536029,0.0,56.206195077368406,High,Supplier Risk,investigate supplier reliability and qualify backup source,48159.869999999995,899301.6
sku_warehouse,SKU-0012|WH-PORTO,SKU-0012 @ WH-PORTO,84.07919201740492,78.96043570147968,9.172981432191126,98.25809170536029,4.549332125396228,56.1100186526417,High,Supplier Risk,investigate supplier reliability and qualify backup source,213191.46,7130794.44
sku_warehouse,SKU-0013|WH-PORTO,SKU-0013 @ WH-PORTO,86.07500922057073,89.63761635468224,1.976744186046511,95.15844504508888,0.0,56.07804762283245,High,Supplier Risk,investigate supplier reliability and qualify backup source,83512.88,2728181.25
sku_warehouse,SKU-0030|WH-PORTO,SKU-0030 @ WH-PORTO,87.54843794872237,87.54843794872237,0.0,98.2580917053603,0.0,55.99357612926994,High,Supplier Risk,investigate supplier reliability and qualify backup source,41187.63,1030482.6
sku_warehouse,SKU-0055|WH-LIS,SKU-0055 @ WH-LIS,73.83527012695737,89.2773960664478,8.551205404109137,96.02684642340184,7.363083362523564,55.80890836057208,High,Supplier Risk,investigate supplier reliability and qualify backup source,267960.5,12222213.6
sku_warehouse,SKU-0037|WH-LIS,SKU-0037 @ WH-LIS,80.28893657068,78.22402774926964,10.277670443740377,98.25809170536029,7.469181077931286,55.71225181206824,High,Supplier Risk,investigate supplier reliability and qualify backup source,189840.96,12473080.48
sku_warehouse,SKU-0005|WH-PORTO,SKU-0005 @ WH-PORTO,84.56764685587864,87.11818100746548,1.8399452804377558,98.25809170536029,0.0,55.625116607215986,High,Supplier Risk,investigate supplier reliability and qualify backup source,72059.4,1855825.16
segment,Pet Care | Spain Central,Pet Care | Spain Central,73.85803230996528,81.03583161399311,24.153897040895107,71.55600452802427,18.78639982161799,55.42980269879538,High,Stockout Risk,raise safety stock for critical SKUs and protect promotion allocation,2354349.8,99350181.44
sku_warehouse,SKU-0049|WH-MAD,SKU-0049 @ WH-MAD,64.04850720805254,71.50734581363662,35.0,95.15844504508887,0.0,54.72860901614688,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,7748.26,788138.58
sku_warehouse,SKU-0077|WH-LIS,SKU-0077 @ WH-LIS,82.53511987729424,84.53952603526258,1.2489573838323582,98.25809170536029,1.8186273976178322,54.68277677895229,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,101770.34,4023675.18
sku_warehouse,SKU-0008|WH-LYON,SKU-0008 @ WH-LYON,92.00841374959352,93.8304057402105,6.048492282370241,58.97763862848871,7.5606153529628015,54.671255040490585,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses,876126.24,12693402.8
sku_warehouse,SKU-0060|WH-LYON,SKU-0060 @ WH-LYON,78.99807390990686,91.49807390990686,0.0,96.02684642340185,1.0036065166024124,54.593914338625794,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,156722.58000000002,2359883.48
sku_warehouse,SKU-0077|WH-LYON,SKU-0077 @ WH-LYON,81.69624062741863,75.68258501843795,8.116033712249669,98.2580917053603,4.760295218287463,54.59285054899464,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,71566.11,3990651.14
sku_warehouse,SKU-0060|WH-LIS,SKU-0060 @ WH-LIS,76.69140823684162,89.8001060790556,2.560881510075772,96.02684642340184,3.201101887594715,54.589022568659956,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,139960.17,5508195.12
sku_warehouse,SKU-0060|WH-PORTO,SKU-0060 @ WH-PORTO,78.97628740578966,91.47628740578966,0.2238593713431412,96.02684642340185,0.537254882006311,54.57232956701078,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,155571.57,3148144.7
sku_warehouse,SKU-0060|WH-MAD,SKU-0060 @ WH-MAD,79.10802802923628,91.60802802923628,0.0,96.02684642340185,0.25743066782738455,54.54002861468882,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,162662.85,2724804.5
sku_warehouse,SKU-0013|WH-LYON,SKU-0013 @ WH-LYON,84.17712939233958,85.81404525319465,0.0,95.15844504508888,0.0,54.306952217078546,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,76503.02,2526754.5
segment,Frozen | Spain Central,Frozen | Spain Central,75.67427811268283,76.59348576361666,19.48936629480957,76.46327920080782,16.609925337317666,54.24935574514756,Medium,Stockout Risk,raise safety stock for critical SKUs and protect promotion allocation,816914.1900000001,55168146.81
sku_warehouse,SKU-0012|WH-LIS,SKU-0012 @ WH-LIS,72.17303692252598,62.31408403039795,26.83986486020451,98.25809170536029,6.45509783312158,54.09720328403754,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,181840.32,10271531.68
sku_warehouse,SKU-0098|WH-MAD,SKU-0098 @ WH-MAD,70.26452281314768,90.26452281314768,0.0,98.25809170536029,9.584628777515233,53.78482319575771,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,103245.69,2966197.41
sku_warehouse,SKU-0049|WH-LIS,SKU-0049 @ WH-LIS,66.21610201751047,69.26701123055722,30.704514363885085,95.15844504508888,0.0,53.72504160947174,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,9503.0,758733.03
sku_warehouse,SKU-0098|WH-LYON,SKU-0098 @ WH-LYON,67.98005520671201,89.06836525781934,0.0,98.25809170536029,11.450068399452803,53.23455785511218,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,68882.19,2867487.33
sku_warehouse,SKU-0023|WH-MAD,SKU-0023 @ WH-MAD,92.36889144011744,93.61122609207108,1.7272818728895911,56.988316867560705,2.1591023411119887,52.59795636194271,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses,320361.98,4511792.1
sku_warehouse,SKU-0013|WH-MAD,SKU-0013 @ WH-MAD,82.62988615400658,78.61660329950324,0.0,95.15844504508887,0.0,52.35217661006651,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,80050.52,2722565.25
sku_warehouse,SKU-0098|WH-PORTO,SKU-0098 @ WH-PORTO,65.0815477663795,89.13049086066505,0.23916396868845813,98.25809170536029,9.510495813988294,52.33844289257862,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,70345.41,3159699.18
sku_warehouse,SKU-0008|WH-MAD,SKU-0008 @ WH-MAD,86.98876749936838,85.42799361961592,7.272324624479876,58.97763862848871,9.090405780599845,52.12589969588125,Medium,Service Risk,review reorder point and raise safety stock,938429.91,17014003.76
sku_warehouse,SKU-0118|WH-LYON,SKU-0118 @ WH-LYON,44.92106901920083,27.947836680551355,61.274998632010934,95.15844504508887,42.57521004850142,51.840225143247935,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,2970.16,1692243.2
segment,Frozen | Portugal North,Frozen | Portugal North,66.31874308195442,68.74365288052046,23.980588668095656,77.31015455344452,16.461817582829227,51.469722443873735,Medium,Supplier Risk,review sourcing mix and supplier dependency for this segment,624362.9,58704811.33
segment,Pet Care | Portugal North,Pet Care | Portugal North,60.890049821060444,70.55975432378871,29.372121803006138,71.5449912376997,19.00834028069744,51.29443337833909,Medium,Supplier Risk,review sourcing mix and supplier dependency for this segment,1622242.16,111225644.27
sku_warehouse,SKU-0010|WH-PORTO,SKU-0010 @ WH-PORTO,70.48037333332606,62.56698670699667,20.031895920701654,95.15844504508887,2.7330983550494357,51.09566667342705,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,112771.72,5036011.92
sku_warehouse,SKU-0038|WH-MAD,SKU-0038 @ WH-MAD,77.39568434932208,77.07535316459267,0.0,95.15844504508885,0.0,50.756893147261906,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,64608.5,2638690.4
sku_warehouse,SKU-0024|WH-LYON,SKU-0024 @ WH-LYON,81.92002565185463,80.78363696811296,7.447179745422133,62.22816255992259,8.71902940133991,50.397699554106474,Medium,Service Risk,review reorder point and raise safety stock,407481.08,15846019.0
sku_warehouse,SKU-0058|WH-PORTO,SKU-0058 @ WH-PORTO,69.07847724399595,84.47518847598246,0.0,95.15844504508887,0.0,50.388727210489385,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,35072.24,1184867.64
sku_warehouse,SKU-0080|WH-MAD,SKU-0080 @ WH-MAD,27.79187499999999,6.951871657754011,87.29265173731694,98.25809170536027,64.81970722232396,50.375705261405926,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,6761.76,17096992.14
sku_warehouse,SKU-0029|WH-MAD,SKU-0029 @ WH-MAD,70.83258528769673,71.66070666925168,5.094100055932622,96.02684642340185,5.26468389344519,50.08911112253305,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,132592.35,8177710.96
sku_warehouse,SKU-0115|WH-MAD,SKU-0115 @ WH-MAD,63.61602050043723,87.83029354379208,0.0,96.02684642340185,0.6305185922148985,50.043077530393575,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,45308.85,1636931.4
segment,Household | Spain Central,Household | Spain Central,59.85816279648447,67.57437490766199,27.51739601115128,69.93007264312297,20.640319610796872,49.91495296192945,Medium,Supplier Risk,review sourcing mix and supplier dependency for this segment,847962.58,128207638.13
sku_warehouse,SKU-0080|WH-LYON,SKU-0080 @ WH-LYON,20.0,0.0,88.1690644502427,98.25809170536029,83.82344348408184,49.32700836167279,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,0.0,21087774.84
sku_warehouse,SKU-0058|WH-LIS,SKU-0058 @ WH-LIS,67.92139395541012,77.95070179752136,2.5239398084815314,95.15844504508885,0.0,49.28138570600291,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,36083.64,1524504.96
sku_warehouse,SKU-0005|WH-LIS,SKU-0005 @ WH-LIS,71.53589389799444,71.61519579532744,2.5239398084815314,98.25809170536029,0.0,49.25099783738391,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,63583.380000000005,2433812.0
sku_warehouse,SKU-0001|WH-LYON,SKU-0001 @ WH-LYON,85.62354874164343,88.96184714818374,0.0,56.988316867560705,0.0,49.23938876940456,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses,86127.29999999999,907971.77
sku_warehouse,SKU-0007|WH-LYON,SKU-0007 @ WH-LYON,83.48239458915491,82.13380447964298,2.5309475082718524,62.22816255992259,3.1636843853398156,49.11206091243906,Medium,Service Risk,review reorder point and raise safety stock,302190.22000000003,5468867.55
segment,Household | France South-East,Household | France South-East,58.30013758545236,66.23589552556675,26.696074731530082,70.03199343356357,20.793040394473127,49.08713257629689,Medium,Supplier Risk,review sourcing mix and supplier dependency for this segment,637467.83,108593416.39
supplier,SUP-004,Supplier 4,67.8418925332281,70.73353185774737,18.883630726978573,58.97763862848871,20.670486881135435,48.70579293507118,Medium,Stockout Risk,expedite replenishment on constrained supplier lanes,3556393.25,156275185.25
sku_warehouse,SKU-0010|WH-LYON,SKU-0010 @ WH-LYON,69.28087021595947,68.37296159178848,6.625860003923001,95.15844504508887,1.0234330760391839,48.62829864082496,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,104457.49,3629932.84
sku_warehouse,SKU-0096|WH-MAD,SKU-0096 @ WH-MAD,56.12236070794741,42.29860322277218,37.04352188909987,96.02684642340185,10.827740005946406,48.54568356087802,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,19101.92,4049236.64
sku_warehouse,SKU-0038|WH-PORTO,SKU-0038 @ WH-PORTO,69.58900323080789,66.76918250043119,6.6279069767441845,95.15844504508887,0.0,48.20662980712158,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,47105.299999999996,2761670.85
sku_warehouse,SKU-0080|WH-PORTO,SKU-0080 @ WH-PORTO,22.15247252747252,0.764382676147382,87.99277714191346,98.25809170536029,70.17191907071977,48.19796917529701,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,2535.66,20216412.6
sku_warehouse,SKU-0003|WH-LIS,SKU-0003 @ WH-LIS,62.363736559224606,64.8420015909679,9.72783791236553,96.02684642340185,8.833873997844055,48.16825601063704,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,274275.83999999997,16198376.22
sku_warehouse,SKU-0013|WH-LIS,SKU-0013 @ WH-LIS,70.72737920034163,70.98109487968587,0.7796460966624883,95.15844504508887,0.9745576208281103,48.13931621894203,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,75850.28,3596116.5
sku_warehouse,SKU-0007|WH-MAD,SKU-0007 @ WH-MAD,79.39480286607179,78.92871768026379,4.131877309476238,62.22816255992259,5.164846636845297,48.09030567053551,Medium,Service Risk,review reorder point and raise safety stock,395385.92,8022848.04
sku_warehouse,SKU-0098|WH-LIS,SKU-0098 @ WH-LIS,58.999455431973246,75.19727004189616,1.0901846464075686,98.25809170536029,8.335744114812098,47.85321187695989,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,68660.49,3873620.31
sku_warehouse,SKU-0073|WH-LYON,SKU-0073 @ WH-LYON,59.01026471513838,75.92797310466602,2.5509017363431683,95.15844504508887,8.20370614070629,47.8527040982952,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,52069.12,3776902.85
segment,Frozen | Portugal South,Frozen | Portugal South,56.51912596652477,60.69730471712471,25.752117285724076,77.00612796982251,17.197349276806467,47.82711479223167,Medium,Supplier Risk,review sourcing mix and supplier dependency for this segment,628366.03,76494272.55
sku_warehouse,SKU-0047|WH-LIS,SKU-0047 @ WH-LIS,57.8921264038881,67.90591760155206,7.137570844416428,98.25809170536029,8.921963555520534,47.516798782565054,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,228083.24,16473946.37
sku_warehouse,SKU-0049|WH-LYON,SKU-0049 @ WH-LYON,48.13163927093817,49.38219836743822,38.753324213406295,95.15844504508887,3.7533242134062963,47.467291474170175,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,4318.34,763351.2
sku_warehouse,SKU-0029|WH-LIS,SKU-0029 @ WH-LIS,62.5725179386016,56.66100211968531,13.436168943876478,96.02684642340185,7.31333703483876,47.095667930747226,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,129144.9,12106332.68
segment,Household | Portugal North,Household | Portugal North,50.27160601569087,59.12249473258179,32.320821117386245,69.94151365807697,20.362836702250373,46.87057067671387,Medium,Supplier Risk,review sourcing mix and supplier dependency for this segment,535461.71,147334211.47
sku_warehouse,SKU-0001|WH-MAD,SKU-0001 @ WH-MAD,82.396229758406,81.59906981341607,0.0,56.988316867560705,0.0,46.84502119977869,Medium,Service Risk,review reorder point and raise safety stock,91211.4,1122747.06
segment,Pet Care | Portugal South,Pet Care | Portugal South,48.18641483253996,59.79715640507753,32.842470005011506,71.14581041786522,20.28530364853525,46.82557894778278,Medium,Supplier Risk,review sourcing mix and supplier dependency for this segment,1353606.16,145162818.61
sku_warehouse,SKU-0023|WH-LYON,SKU-0023 @ WH-LYON,81.39322755088527,80.28463923727104,1.2104298952625068,56.988316867560705,1.5130373690781334,46.81745434975575,Medium,Service Risk,review reorder point and raise safety stock,186771.26,3986737.42
sku_warehouse,SKU-0010|WH-LIS,SKU-0010 @ WH-LIS,50.588829508774666,44.00802824471523,37.4179500266122,95.15844504508887,5.142820570200958,46.74873938937255,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,83780.74,7989079.06
supplier,SUP-007,Supplier 7,58.19842892633716,62.71097320608823,25.311164224934817,56.988316867560705,25.585111439191984,46.53876276194127,Medium,Stockout Risk,expedite replenishment on constrained supplier lanes,2277829.7,318418181.27
sku_warehouse,SKU-0048|WH-LIS,SKU-0048 @ WH-LIS,63.39718578615201,53.37477989910745,9.279532224018949,98.25809170536029,11.599415280023686,46.53007671230563,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,324597.0,27508945.59
sku_warehouse,SKU-0107|WH-LYON,SKU-0107 @ WH-LYON,56.464931605733355,75.33390988001192,1.9856159446858077,96.02684642340185,2.739450598684644,46.349410097263366,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,87226.2,4799602.24
sku_warehouse,SKU-0115|WH-PORTO,SKU-0115 @ WH-PORTO,55.57583650606966,69.6340881110993,9.090287277701778,96.02684642340185,0.0,46.203664520291284,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,27682.079999999998,1751685.0
sku_warehouse,SKU-0080|WH-LIS,SKU-0080 @ WH-LIS,20.0,0.0,87.72201109598062,98.25809170536029,61.99861510116592,46.19106278429739,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,0.0,18947656.74
sku_warehouse,SKU-0115|WH-LYON,SKU-0115 @ WH-LYON,55.59886562673115,65.05578542616944,11.142270861833103,96.02684642340185,1.3766944409899264,45.88717820049558,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,26226.03,1818523.2
