alert_id,alert_date,entity_type,entity_id,region,metric_name,metric_value,baseline_mean,baseline_std,z_score,severity,diagnosis,recommended_action
ALT-00011,2025-12-10,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,29804.670000000002,11213.984999999999,4437.184787799327,4.189747754278287,Critical,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00012,2025-12-10,warehouse,WH-PORTO,Portugal North,stockout_rate,0.16628175519630484,0.07800573351668913,0.023761922392554483,3.715020200018663,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00013,2025-12-09,warehouse,WH-PORTO,Portugal North,stockout_rate,0.15348101265822786,0.07448997012172007,0.018983237267871038,4.161094413027194,Critical,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00014,2025-12-09,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,23648.97,10580.039642857142,3819.8562097258737,3.4213147405568787,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00015,2025-12-09,supplier,SUP-001,Global,avg_delay_days,9.333333333333334,4.630497280497281,1.8677971782737712,2.51785156736474,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00016,2025-12-09,supplier,SUP-010,Global,late_rate,0.6,0.3146825396825397,0.11575258550772119,2.464890603229147,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00017,2025-12-09,supplier,SUP-001,Global,late_rate,0.8333333333333334,0.48671606171606174,0.16734056380101195,2.071328455839561,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00018,2025-12-07,warehouse,WH-LYON,France South-East,lost_sales_revenue,35683.42,14273.669642857143,7500.516824524933,2.854436681901437,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00019,2025-12-02,supplier,SUP-003,Global,avg_delay_days,7.529411764705882,4.417773035787741,1.2872600426451737,2.4172572952113667,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00020,2025-11-28,warehouse,WH-LIS,Portugal South,lost_sales_revenue,23262.460000000003,7471.8825,5226.729499895592,3.021120090549058,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00021,2025-11-27,warehouse,WH-LYON,France South-East,lost_sales_revenue,30437.31,11868.121428571427,6210.869253319948,2.9897889995836944,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00022,2025-11-27,warehouse,WH-LIS,Portugal South,lost_sales_revenue,21521.539999999997,7285.946428571428,4782.106306967155,2.9768459037994246,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00023,2025-11-25,supplier,SUP-001,Global,late_rate,0.75,0.4486742424242425,0.12723474140069968,2.368266357588561,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00024,2025-11-21,warehouse,WH-PORTO,Portugal North,stockout_rate,0.12714932126696832,0.07055089718411749,0.020168851678612966,2.806229377097743,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00025,2025-11-19,warehouse,WH-MAD,Spain Central,stockout_rate,0.1846793349168646,0.09096969853378183,0.03607349834287426,2.597741851715738,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00026,2025-11-18,supplier,SUP-009,Global,avg_delay_days,2.0,0.4788555194805194,0.3000424578791202,5.069764096960947,Critical,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00027,2025-11-18,supplier,SUP-002,Global,avg_delay_days,6.5,3.9945436507936507,1.185280759710491,2.113808335012808,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00028,2025-11-18,supplier,SUP-009,Global,late_rate,0.6153846153846154,0.3226461038961039,0.14397098325371027,2.033316053503909,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00029,2025-11-16,warehouse,WH-LIS,Portugal South,stockout_rate,0.1009012539184953,0.039742610027904156,0.0213773527072421,2.8609082110467385,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00030,2025-11-15,warehouse,WH-MAD,Spain Central,stockout_rate,0.18282671400044376,0.08373707941679068,0.02969586117248166,3.33681633302747,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00031,2025-11-15,warehouse,WH-LIS,Portugal South,stockout_rate,0.08948226661231146,0.038250711987450656,0.0191155097305573,2.68010402793309,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00032,2025-11-11,supplier,SUP-005,Global,avg_delay_days,4.666666666666667,2.3897992938434114,0.9057512400464789,2.5137888552119647,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00033,2025-11-11,supplier,SUP-005,Global,late_rate,0.8333333333333334,0.5318573889345948,0.12798036663772935,2.355642137298439,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00034,2025-11-04,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,21006.04,8067.523571428572,4420.396485371305,2.927003600557025,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00035,2025-11-04,supplier,SUP-010,Global,avg_delay_days,0.8888888888888888,0.38652597402597405,0.24995797139269763,2.0097895340720107,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00036,2025-11-03,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,19809.01,7600.165,3778.138308777945,3.231444696356021,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00037,2025-11-01,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,19756.41,7249.253214285714,2934.158655612204,4.262604123942542,Critical,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00038,2025-11-01,warehouse,WH-LYON,France South-East,stockout_rate,0.15631808278867101,0.08317934554339775,0.02798972206447241,2.6130569312836758,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00039,2025-10-31,warehouse,WH-LYON,France South-East,lost_sales_revenue,23820.36,8835.527857142857,4601.569124561889,3.2564613802870634,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00040,2025-10-30,warehouse,WH-LYON,France South-East,lost_sales_revenue,20893.99,8521.440357142857,4010.148589760637,3.085309525549439,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00041,2025-10-29,warehouse,WH-LYON,France South-East,lost_sales_revenue,20300.14,8248.98142857143,3391.7100172350806,3.553121732161721,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00042,2025-10-28,warehouse,WH-LYON,France South-East,lost_sales_revenue,16490.72,8107.534285714285,3105.8021463162336,2.6992014685252705,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00043,2025-10-27,warehouse,WH-LIS,Portugal South,lost_sales_revenue,17323.62,8170.596071428571,3402.2515053834727,2.690284334972989,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00044,2025-10-21,supplier,SUP-001,Global,avg_delay_days,7.5,3.9773018648018645,0.7753932248724662,4.543111833067068,Critical,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00045,2025-10-21,supplier,SUP-004,Global,late_rate,0.8,0.3863095238095238,0.11316195271389637,3.655738225341482,High,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00046,2025-10-21,supplier,SUP-012,Global,late_rate,0.8,0.4156884781884782,0.1252765913063538,3.067704172056526,High,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00047,2025-10-21,supplier,SUP-006,Global,late_rate,1.0,0.49374999999999997,0.172271818255568,2.938669859796627,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00048,2025-10-16,warehouse,WH-LIS,Portugal South,stockout_rate,0.09627924817798235,0.043540362811494114,0.01910179204519126,2.7609391433912545,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00049,2025-10-10,warehouse,WH-MAD,Spain Central,stockout_rate,0.19422743055555555,0.09917752156802305,0.0315762460078815,3.010171283939447,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00050,2025-10-08,warehouse,WH-MAD,Spain Central,lost_sales_revenue,34451.93,16957.025357142855,5451.152463684787,3.209395583669147,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00051,2025-10-07,supplier,SUP-011,Global,avg_delay_days,1.3333333333333333,0.5325622294372294,0.38665525095747655,2.0710208950044,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00052,2025-10-06,warehouse,WH-MAD,Spain Central,lost_sales_revenue,29959.39,16721.04857142857,4980.254649338422,2.658165567965488,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00053,2025-10-05,warehouse,WH-LIS,Portugal South,stockout_rate,0.09023024268823895,0.03421137470340462,0.015381742046797847,3.6419066068330195,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00054,2025-10-04,warehouse,WH-LIS,Portugal South,stockout_rate,0.09137367130008177,0.03146551735194436,0.011052820718080747,5.420168794571752,Critical,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00055,2025-09-30,supplier,SUP-005,Global,avg_delay_days,3.3846153846153846,1.518785238454356,0.6138792155743964,3.0394092173575267,High,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00056,2025-09-30,supplier,SUP-005,Global,late_rate,0.7692307692307693,0.45173005099475694,0.10696600113626982,2.9682395795233183,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00057,2025-09-30,supplier,SUP-009,Global,avg_delay_days,1.125,0.40955086580086575,0.3187495558622355,2.2445494308652574,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00058,2025-09-25,warehouse,WH-LIS,Portugal South,lost_sales_revenue,11527.11,3901.5803571428573,2848.7894554568743,2.676761397108654,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00059,2025-09-24,warehouse,WH-LIS,Portugal South,lost_sales_revenue,11284.08,3615.3921428571425,2454.9609908334482,3.1237514102166535,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00060,2025-09-23,warehouse,WH-LIS,Portugal South,lost_sales_revenue,13289.32,3217.779285714286,1573.4168327747502,6.401063281193174,Critical,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00061,2025-09-16,supplier,SUP-007,Global,avg_delay_days,2.6,1.5800408639563053,0.22903718973236514,4.453246816534637,Critical,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00062,2025-09-02,supplier,SUP-012,Global,avg_delay_days,1.25,0.6165863854282971,0.26664900016943976,2.375458427255327,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00063,2025-08-30,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,32647.85,16874.67107142857,6214.931465420715,2.5379489727814204,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00064,2025-08-29,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,31200.51,16064.279285714287,5738.893477593894,2.6374824299111705,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00065,2025-08-28,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,29766.07,15297.546071428571,5254.1510598582745,2.753732004226331,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00066,2025-08-26,supplier,SUP-011,Global,avg_delay_days,1.375,0.395739676989677,0.22542511317899394,4.344060469574933,Critical,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00067,2025-08-19,supplier,SUP-010,Global,avg_delay_days,1.8,0.5930555555555556,0.21626146772780355,5.580950028340505,Critical,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00068,2025-08-19,supplier,SUP-007,Global,late_rate,0.6923076923076923,0.49832887700534756,0.09605294849791657,2.019498811184877,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00069,2025-08-05,warehouse,WH-PORTO,Portugal North,stockout_rate,0.15709137163451345,0.08285198785060291,0.0265190795289009,2.7994706114517784,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00070,2025-08-04,warehouse,WH-LYON,France South-East,stockout_rate,0.19271664008506115,0.12559147538100354,0.025992284883416646,2.5825034238095848,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00071,2025-07-29,supplier,SUP-011,Global,late_rate,0.6363636363636364,0.259021534021534,0.13954555894942947,2.7040781891084693,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00072,2025-07-29,supplier,SUP-011,Global,avg_delay_days,0.7272727272727273,0.3325258075258075,0.1771903231658312,2.2278130808389514,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00073,2025-07-28,warehouse,WH-LYON,France South-East,lost_sales_revenue,31191.85,15017.533214285711,5737.723502350285,2.8189432235779512,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00074,2025-07-23,warehouse,WH-MAD,Spain Central,lost_sales_revenue,31252.06,13582.793928571427,3947.742438640003,4.475789985305028,Critical,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00075,2025-07-22,warehouse,WH-MAD,Spain Central,stockout_rate,0.16203522504892368,0.0890364463963671,0.022482673275090435,3.2468905169491213,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00076,2025-07-17,warehouse,WH-LYON,France South-East,lost_sales_revenue,31611.03,13795.785,5101.366540644174,3.4922495488337097,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00077,2025-07-17,warehouse,WH-LIS,Portugal South,lost_sales_revenue,25972.66,8362.123214285715,6500.263545263528,2.7092035058403674,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00078,2025-07-15,supplier,SUP-002,Global,late_rate,0.9,0.6127673796791444,0.06508962230590017,4.412878891368508,Critical,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00079,2025-07-15,supplier,SUP-002,Global,avg_delay_days,8.2,5.47571115567439,1.3272742332586989,2.052544060647502,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00080,2025-07-08,supplier,SUP-009,Global,late_rate,0.8,0.424485236985237,0.12891901561884758,2.912795767266655,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00081,2025-07-01,supplier,SUP-001,Global,avg_delay_days,7.2727272727272725,3.4345349095349094,0.762220374394733,5.035541546944622,Critical,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00082,2025-06-30,warehouse,WH-LIS,Portugal South,stockout_rate,0.10712343665035345,0.0554480415863114,0.01971464244346298,2.621168261724,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00083,2025-06-24,supplier,SUP-004,Global,avg_delay_days,3.0,1.6863591269841272,0.4199269883164259,3.1282601727565327,High,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00084,2025-06-24,supplier,SUP-005,Global,avg_delay_days,3.357142857142857,2.2973665223665223,0.4923366661204984,2.152543996219361,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00085,2025-06-17,supplier,SUP-006,Global,avg_delay_days,6.0,1.7238095238095237,1.0832888530899898,3.9474148229191175,High,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00086,2025-06-17,supplier,SUP-007,Global,late_rate,0.6428571428571429,0.40664291687414755,0.08503231358624116,2.7779348346605084,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00087,2025-06-17,supplier,SUP-007,Global,avg_delay_days,2.7142857142857144,1.309930958489395,0.5556816906046302,2.5272647624366726,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00088,2025-06-15,warehouse,WH-LYON,France South-East,stockout_rate,0.1817204301075269,0.08590054550887662,0.024424024339889314,3.923181670031226,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00089,2025-06-14,warehouse,WH-LYON,France South-East,stockout_rate,0.1455040871934605,0.08304515326331303,0.021721754600496558,2.8754092419734665,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00090,2025-06-14,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,23923.69,7199.909642857143,6676.189916783865,2.504988708469701,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00091,2025-06-13,warehouse,WH-MAD,Spain Central,lost_sales_revenue,25315.67,12859.552857142857,4640.386684455593,2.6842843042763547,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00092,2025-06-12,warehouse,WH-LYON,France South-East,stockout_rate,0.14377338321753072,0.08108946959051819,0.017990241403096748,3.484328654768493,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00093,2025-06-12,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,23154.83,6762.316428571428,5829.200994282351,2.812137304496343,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00094,2025-06-10,supplier,SUP-008,Global,late_rate,0.7058823529411765,0.41472069597069594,0.11898802749146652,2.446982802461885,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00095,2025-06-08,warehouse,WH-LIS,Portugal South,lost_sales_revenue,22172.670000000002,6383.363928571429,4557.116639813147,3.4647579422228643,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00096,2025-06-08,warehouse,WH-LIS,Portugal South,stockout_rate,0.10090452261306533,0.04831216889722617,0.016696012821309135,3.149994808863317,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00097,2025-06-08,warehouse,WH-MAD,Spain Central,stockout_rate,0.13574040219378428,0.07036058721703799,0.023536117180390143,2.7778505042122896,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00098,2025-06-07,warehouse,WH-LIS,Portugal South,lost_sales_revenue,20358.61,5900.252142857143,3646.7926810741633,3.9646777652532053,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00099,2025-06-07,warehouse,WH-LIS,Portugal South,stockout_rate,0.09177215189873418,0.04740406600408299,0.014832106331650212,2.991354356729104,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00100,2025-05-27,supplier,SUP-008,Global,avg_delay_days,2.6923076923076925,0.9849358974358975,0.4863844781407717,3.510333638520511,High,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00101,2025-05-27,supplier,SUP-008,Global,late_rate,0.6153846153846154,0.3762591575091575,0.09138755981333885,2.616608413266281,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00102,2025-05-27,supplier,SUP-002,Global,avg_delay_days,7.0,4.39039820473644,1.286486785689157,2.0284715119445433,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00103,2025-05-15,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,19144.84,9302.091428571428,3843.0998980931804,2.561148248140055,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00104,2025-05-14,warehouse,WH-PORTO,Portugal North,stockout_rate,0.1234093637454982,0.07740862185598525,0.017004168455459587,2.7052626542724783,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00105,2025-05-13,supplier,SUP-005,Global,avg_delay_days,2.7,1.9978404765169473,0.34844589423786243,2.0151177990455302,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00106,2025-05-08,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,17551.89,7144.336428571428,3341.6508096051825,3.1144946508214693,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00107,2025-05-07,warehouse,WH-PORTO,Portugal North,lost_sales_revenue,18664.37,6934.559642857143,2717.8162658792266,4.3158952665066215,Critical,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00108,2025-05-07,warehouse,WH-LIS,Portugal South,lost_sales_revenue,25310.59,5458.894285714285,5837.462029615548,3.4007408722439494,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00109,2025-05-07,warehouse,WH-LIS,Portugal South,stockout_rate,0.10336862367661212,0.03755517914293328,0.025952546467561913,2.5359147171141405,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00110,2025-05-06,warehouse,WH-LIS,Portugal South,lost_sales_revenue,21464.45,4779.217142857144,4944.474463422384,3.3745209891515855,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00111,2025-05-06,supplier,SUP-009,Global,late_rate,0.5714285714285714,0.37630772005772,0.06829023998596083,2.8572289599650627,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00112,2025-05-06,warehouse,WH-LIS,Portugal South,stockout_rate,0.09977230387083419,0.034984696494423366,0.022952967932104426,2.822624401691952,Medium,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00113,2025-05-06,supplier,SUP-011,Global,late_rate,0.6666666666666666,0.311228354978355,0.14403881684933428,2.467656423893726,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00114,2025-05-06,supplier,SUP-005,Global,avg_delay_days,2.5454545454545454,1.9488894275658981,0.28162506731769005,2.1182955181176606,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00115,2025-05-06,supplier,SUP-005,Global,late_rate,0.7272727272727273,0.5121166415284062,0.10582073357447082,2.0332129486978663,Medium,Supplier late-delivery spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00116,2025-05-05,warehouse,WH-LIS,Portugal South,lost_sales_revenue,19595.34,4133.880714285714,4034.5587635080465,3.8322553201011145,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00117,2025-05-04,warehouse,WH-LIS,Portugal South,lost_sales_revenue,16218.81,3593.2785714285715,3303.100033971151,3.8223279037033544,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00118,2025-05-03,warehouse,WH-LIS,Portugal South,lost_sales_revenue,14921.71,3150.2492857142856,2448.8261791995205,4.806980917744681,Critical,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00119,2025-05-02,warehouse,WH-LIS,Portugal South,lost_sales_revenue,10290.869999999999,2843.247142857143,2022.128244450997,3.6830615850306114,High,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00120,2025-04-22,supplier,SUP-005,Global,avg_delay_days,2.4444444444444446,1.7521001057765764,0.3256962310955047,2.1257364149996887,Medium,Supplier delay-duration spike vs 8-week baseline,investigate supplier reliability and trigger corrective plan
ALT-00121,2025-04-20,warehouse,WH-LYON,France South-East,stockout_rate,0.23571225476258176,0.09578690619800913,0.03752626613195027,3.728730912704332,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
ALT-00122,2025-04-20,warehouse,WH-LYON,France South-East,lost_sales_revenue,32309.33,13488.283214285713,7195.466423240281,2.6156812746599885,Medium,Warehouse lost-sales spike vs 4-week baseline,review demand shock and recover priority SKUs
ALT-00123,2025-04-19,warehouse,WH-LYON,France South-East,stockout_rate,0.20486205954657197,0.09287353518680573,0.031413139552129155,3.5650217060897296,High,Warehouse stockout spike vs 4-week baseline,expedite replenishment and rebalance stock across warehouses
