product_id,warehouse_id,supplier_id,service_risk_score,stockout_risk_score,excess_inventory_score,supplier_risk_score,working_capital_risk_score,governance_priority_score,risk_tier,main_risk_driver,recommended_action
SKU-0077,WH-PORTO,SUP-003,91.0823,91.0823,0.7201,98.2581,1.9038,58.0585,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0047,WH-PORTO,SUP-003,79.3318,93.9039,6.3496,98.2581,7.937,58.0549,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0031,WH-PORTO,SUP-003,77.7434,90.0522,10.5716,98.2581,9.0335,57.9931,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0055,WH-MAD,SUP-002,82.5009,95.0009,4.2099,96.0268,5.2624,57.8118,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0047,WH-LYON,SUP-003,81.8035,94.3035,3.8339,98.2581,4.7924,57.692,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0046,WH-PORTO,SUP-002,88.4944,89.5992,3.8919,96.0268,0.0,57.2488,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0055,WH-LYON,SUP-002,81.7524,94.2524,3.6826,96.0268,4.6033,57.2487,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0005,WH-MAD,SUP-003,90.1518,90.1518,0.0,98.2581,0.0,57.1911,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0030,WH-LYON,SUP-003,86.828,86.828,6.3543,98.2581,0.0,57.1872,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0055,WH-PORTO,SUP-002,80.9048,93.4048,4.4372,96.0268,5.5465,57.1719,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0046,WH-LIS,SUP-002,89.4781,90.1001,2.1135,96.0268,0.0,57.1683,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0005,WH-LYON,SUP-003,89.694,89.694,0.6088,98.2581,0.0,57.1266,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0031,WH-MAD,SUP-003,76.6259,90.7295,7.1796,98.2581,8.9745,57.0515,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0046,WH-LYON,SUP-002,90.1977,90.1977,0.1984,96.0268,0.0,56.9028,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0046,WH-MAD,SUP-002,90.0774,90.0774,0.0,96.0268,0.0,56.7999,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0031,WH-LIS,SUP-003,71.8652,81.8326,17.4421,98.2581,10.7817,56.6676,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0048,WH-PORTO,SUP-003,83.1285,78.8765,8.1087,98.2581,10.1359,56.3901,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0030,WH-LIS,SUP-003,87.2747,87.2747,1.8399,98.2581,0.0,56.3093,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0030,WH-MAD,SUP-003,88.0107,88.0107,0.0,98.2581,0.0,56.2062,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0012,WH-PORTO,SUP-003,84.0792,78.9604,9.173,98.2581,4.5493,56.11,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0013,WH-PORTO,SUP-001,86.075,89.6376,1.9767,95.1584,0.0,56.078,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0030,WH-PORTO,SUP-003,87.5484,87.5484,0.0,98.2581,0.0,55.9936,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0055,WH-LIS,SUP-002,73.8353,89.2774,8.5512,96.0268,7.3631,55.8089,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0037,WH-LIS,SUP-003,80.2889,78.224,10.2777,98.2581,7.4692,55.7123,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0005,WH-PORTO,SUP-003,84.5676,87.1182,1.8399,98.2581,0.0,55.6251,High,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0049,WH-MAD,SUP-001,64.0485,71.5073,35.0,95.1584,0.0,54.7286,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0077,WH-LIS,SUP-003,82.5351,84.5395,1.249,98.2581,1.8186,54.6828,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0008,WH-LYON,SUP-004,92.0084,93.8304,6.0485,58.9776,7.5606,54.6713,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0060,WH-LYON,SUP-002,78.9981,91.4981,0.0,96.0268,1.0036,54.5939,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0077,WH-LYON,SUP-003,81.6962,75.6826,8.116,98.2581,4.7603,54.5929,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0060,WH-LIS,SUP-002,76.6914,89.8001,2.5609,96.0268,3.2011,54.589,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0060,WH-PORTO,SUP-002,78.9763,91.4763,0.2239,96.0268,0.5373,54.5723,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0060,WH-MAD,SUP-002,79.108,91.608,0.0,96.0268,0.2574,54.54,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0013,WH-LYON,SUP-001,84.1771,85.814,0.0,95.1584,0.0,54.307,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0012,WH-LIS,SUP-003,72.173,62.3141,26.8399,98.2581,6.4551,54.0972,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0098,WH-MAD,SUP-003,70.2645,90.2645,0.0,98.2581,9.5846,53.7848,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0049,WH-LIS,SUP-001,66.2161,69.267,30.7045,95.1584,0.0,53.725,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0098,WH-LYON,SUP-003,67.9801,89.0684,0.0,98.2581,11.4501,53.2346,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0023,WH-MAD,SUP-007,92.3689,93.6112,1.7273,56.9883,2.1591,52.598,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0013,WH-MAD,SUP-001,82.6299,78.6166,0.0,95.1584,0.0,52.3522,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0098,WH-PORTO,SUP-003,65.0815,89.1305,0.2392,98.2581,9.5105,52.3384,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0008,WH-MAD,SUP-004,86.9888,85.428,7.2723,58.9776,9.0904,52.1259,Medium,Service Risk,review reorder point and raise safety stock
SKU-0118,WH-LYON,SUP-001,44.9211,27.9478,61.275,95.1584,42.5752,51.8402,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0010,WH-PORTO,SUP-001,70.4804,62.567,20.0319,95.1584,2.7331,51.0957,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0038,WH-MAD,SUP-001,77.3957,77.0754,0.0,95.1584,0.0,50.7569,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0024,WH-LYON,SUP-005,81.92,80.7836,7.4472,62.2282,8.719,50.3977,Medium,Service Risk,review reorder point and raise safety stock
SKU-0058,WH-PORTO,SUP-001,69.0785,84.4752,0.0,95.1584,0.0,50.3887,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0080,WH-MAD,SUP-003,27.7919,6.9519,87.2927,98.2581,64.8197,50.3757,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0029,WH-MAD,SUP-002,70.8326,71.6607,5.0941,96.0268,5.2647,50.0891,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0115,WH-MAD,SUP-002,63.616,87.8303,0.0,96.0268,0.6305,50.0431,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0080,WH-LYON,SUP-003,20.0,0.0,88.1691,98.2581,83.8234,49.327,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0058,WH-LIS,SUP-001,67.9214,77.9507,2.5239,95.1584,0.0,49.2814,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0005,WH-LIS,SUP-003,71.5359,71.6152,2.5239,98.2581,0.0,49.251,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0001,WH-LYON,SUP-007,85.6235,88.9618,0.0,56.9883,0.0,49.2394,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0007,WH-LYON,SUP-005,83.4824,82.1338,2.5309,62.2282,3.1637,49.1121,Medium,Service Risk,review reorder point and raise safety stock
SKU-0010,WH-LYON,SUP-001,69.2809,68.373,6.6259,95.1584,1.0234,48.6283,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0096,WH-MAD,SUP-002,56.1224,42.2986,37.0435,96.0268,10.8277,48.5457,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0038,WH-PORTO,SUP-001,69.589,66.7692,6.6279,95.1584,0.0,48.2066,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0080,WH-PORTO,SUP-003,22.1525,0.7644,87.9928,98.2581,70.1719,48.198,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0003,WH-LIS,SUP-002,62.3637,64.842,9.7278,96.0268,8.8339,48.1683,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0013,WH-LIS,SUP-001,70.7274,70.9811,0.7796,95.1584,0.9746,48.1393,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0007,WH-MAD,SUP-005,79.3948,78.9287,4.1319,62.2282,5.1648,48.0903,Medium,Service Risk,review reorder point and raise safety stock
SKU-0098,WH-LIS,SUP-003,58.9995,75.1973,1.0902,98.2581,8.3357,47.8532,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0073,WH-LYON,SUP-001,59.0103,75.928,2.5509,95.1584,8.2037,47.8527,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0047,WH-LIS,SUP-003,57.8921,67.9059,7.1376,98.2581,8.922,47.5168,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0049,WH-LYON,SUP-001,48.1316,49.3822,38.7533,95.1584,3.7533,47.4673,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0029,WH-LIS,SUP-002,62.5725,56.661,13.4362,96.0268,7.3133,47.0957,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0001,WH-MAD,SUP-007,82.3962,81.5991,0.0,56.9883,0.0,46.845,Medium,Service Risk,review reorder point and raise safety stock
SKU-0023,WH-LYON,SUP-007,81.3932,80.2846,1.2104,56.9883,1.513,46.8175,Medium,Service Risk,review reorder point and raise safety stock
SKU-0010,WH-LIS,SUP-001,50.5888,44.008,37.418,95.1584,5.1428,46.7487,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0048,WH-LIS,SUP-003,63.3972,53.3748,9.2795,98.2581,11.5994,46.5301,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0107,WH-LYON,SUP-002,56.4649,75.3339,1.9856,96.0268,2.7395,46.3494,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0115,WH-PORTO,SUP-002,55.5758,69.6341,9.0903,96.0268,0.0,46.2037,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0080,WH-LIS,SUP-003,20.0,0.0,87.722,98.2581,61.9986,46.1911,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0115,WH-LYON,SUP-002,55.5989,65.0558,11.1423,96.0268,1.3767,45.8872,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0108,WH-LYON,SUP-003,16.9303,19.0877,79.8422,98.2581,45.8783,45.7942,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0073,WH-PORTO,SUP-001,54.2188,74.8759,1.0981,95.1584,4.6147,45.6202,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0058,WH-LYON,SUP-001,60.1309,68.6837,1.156,95.1584,0.0,45.0446,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0038,WH-LYON,SUP-001,63.9706,57.5016,7.3119,95.1584,0.0,44.9835,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0008,WH-PORTO,SUP-004,69.3444,70.8836,7.7866,58.9776,9.7332,44.9049,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0108,WH-PORTO,SUP-003,18.1667,17.8442,76.4819,98.2581,42.4982,44.8135,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0058,WH-MAD,SUP-001,57.7378,70.4808,0.0,95.1584,0.0,44.5882,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0010,WH-MAD,SUP-001,52.6687,56.0896,15.1434,95.1584,2.4364,44.1811,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0096,WH-PORTO,SUP-002,42.5271,28.4583,40.9808,96.0268,16.9574,44.041,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0023,WH-PORTO,SUP-007,73.2446,73.5775,2.5955,56.9883,3.2443,43.961,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0007,WH-PORTO,SUP-005,68.8947,70.1417,4.3851,62.2282,5.4813,43.7422,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0118,WH-MAD,SUP-001,34.4622,14.6667,57.2432,95.1584,32.574,43.6548,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0006,WH-LYON,SUP-007,75.063,74.304,0.0,56.9883,0.0,43.4801,Medium,Service Risk,review reorder point and raise safety stock
SKU-0089,WH-LYON,SUP-002,37.7983,38.8524,39.6411,96.0268,6.3908,43.2814,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0100,WH-MAD,SUP-002,28.6835,33.3772,44.7966,96.0268,24.895,42.861,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0089,WH-PORTO,SUP-002,33.3579,41.9617,40.6077,96.0268,6.6113,42.8382,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0018,WH-LYON,SUP-004,71.789,72.2865,0.0,58.9776,0.0,42.5688,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0073,WH-MAD,SUP-001,49.5091,65.0819,1.5918,95.1584,5.2319,42.5401,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0074,WH-LYON,SUP-001,47.5374,62.4266,0.6088,95.1584,14.4348,42.5351,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0095,WH-LYON,SUP-003,6.2413,4.1291,85.9133,98.2581,60.1108,42.382,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0118,WH-PORTO,SUP-001,22.5382,1.0042,71.893,95.1584,50.9546,42.2821,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0018,WH-MAD,SUP-004,69.8314,70.7981,1.1368,58.9776,1.421,42.2433,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0087,WH-LYON,SUP-003,30.7648,37.6762,41.8357,98.2581,9.8102,42.1434,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0024,WH-MAD,SUP-005,60.2875,61.7793,8.6239,62.2282,10.361,41.5372,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0108,WH-LIS,SUP-003,18.3471,17.9946,63.9676,98.2581,30.0424,40.9043,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0096,WH-LYON,SUP-002,33.4932,14.0149,47.176,96.0268,26.6132,40.7131,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0049,WH-PORTO,SUP-001,35.5189,36.7896,36.1397,95.1584,1.1397,40.6394,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0085,WH-LYON,SUP-003,36.8106,28.2279,37.1919,98.2581,6.3551,40.5589,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0073,WH-LIS,SUP-001,43.4552,62.277,2.1608,95.1584,4.8239,40.5495,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0028,WH-MAD,SUP-008,62.5399,74.5054,0.0,56.5939,0.0,40.4558,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0029,WH-PORTO,SUP-002,48.8977,42.8421,12.7828,96.0268,6.1546,40.4545,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0038,WH-LIS,SUP-001,54.5611,51.9839,2.2735,95.1584,0.371,40.3541,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0001,WH-PORTO,SUP-007,67.42,68.3222,0.0,56.9883,0.0,40.3298,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0007,WH-LIS,SUP-005,58.9141,62.0606,6.0254,62.2282,7.5317,40.2498,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0086,WH-PORTO,SUP-004,66.1234,67.6551,0.0,58.9776,0.0,40.1902,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0118,WH-LIS,SUP-001,29.4987,12.7819,54.2578,95.1584,23.9923,40.0123,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0100,WH-LYON,SUP-002,18.1893,17.7533,53.3372,96.0268,38.3451,39.6958,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0095,WH-PORTO,SUP-003,1.2242,0.0,86.1609,98.2581,56.6894,39.534,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0061,WH-LYON,SUP-002,34.7415,17.203,35.552,96.0268,24.0789,39.3418,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0061,WH-MAD,SUP-002,39.2177,25.4902,26.5876,96.0268,17.1391,39.1649,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0087,WH-MAD,SUP-003,27.5696,39.6441,32.4265,98.2581,3.1561,38.9925,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0100,WH-PORTO,SUP-002,19.3586,21.0148,51.8862,96.0268,27.5163,38.9869,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0096,WH-LIS,SUP-002,40.1033,19.5666,36.5003,96.0268,5.4906,38.8225,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0115,WH-LIS,SUP-002,41.5966,60.2844,0.0,96.0268,0.0,38.6101,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0086,WH-MAD,SUP-004,62.1883,64.4445,0.0,58.9776,0.0,38.5394,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0095,WH-MAD,SUP-003,7.8818,9.1384,69.4987,98.2581,41.0375,38.3513,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0036,WH-MAD,SUP-001,37.0884,36.8984,18.9923,95.1584,9.2995,38.1043,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0093,WH-MAD,SUP-005,59.5457,62.6329,0.0,62.2282,0.0,38.0267,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0090,WH-LYON,SUP-004,51.5148,72.444,0.0,58.9776,0.0,37.7376,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0112,WH-PORTO,SUP-001,39.6203,28.208,27.2447,95.1584,0.8917,37.6035,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0112,WH-MAD,SUP-001,42.3714,25.9319,21.1749,95.1584,5.8495,37.0004,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0071,WH-PORTO,SUP-003,18.7084,18.0712,51.5679,98.2581,16.5679,36.9112,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0008,WH-LIS,SUP-004,49.0288,50.4936,9.3985,58.9776,11.7481,36.2123,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0107,WH-PORTO,SUP-002,34.1609,42.8997,10.8104,96.0268,4.2022,36.1837,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0093,WH-LYON,SUP-005,54.9702,58.6245,0.0,62.2282,0.0,36.0467,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0086,WH-LYON,SUP-004,56.2175,59.3858,0.0,58.9776,0.0,35.9935,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0090,WH-MAD,SUP-004,47.1627,68.9298,0.0,58.9776,0.0,35.92,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses
SKU-0018,WH-PORTO,SUP-004,54.1831,57.7633,1.5655,58.9776,1.9569,35.798,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0107,WH-MAD,SUP-002,34.1211,40.621,8.3347,96.0268,7.2255,35.5019,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0075,WH-LYON,SUP-002,0.6786,0.0,73.4315,96.0268,46.1507,35.2467,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0108,WH-MAD,SUP-003,2.1314,0.6806,72.6611,98.2581,38.7408,35.0132,Medium,Supplier Risk,investigate supplier reliability and qualify backup source
SKU-0040,WH-LYON,SUP-007,50.0868,51.1461,6.2244,56.9883,7.7805,34.9743,Low,Supplier Risk,monitor only
SKU-0095,WH-LIS,SUP-003,6.7333,4.5349,64.7386,98.2581,32.2773,34.9107,Low,Supplier Risk,monitor only
SKU-0087,WH-LIS,SUP-003,22.7064,24.0318,37.1252,98.2581,2.6565,34.8747,Low,Supplier Risk,monitor only
SKU-0089,WH-MAD,SUP-002,21.3443,27.2983,36.4645,96.0268,2.095,34.6301,Low,Supplier Risk,monitor only
SKU-0051,WH-MAD,SUP-007,46.5082,62.1607,1.5987,56.9883,1.9983,34.6189,Low,Stockout Risk,monitor only
SKU-0075,WH-MAD,SUP-002,13.386,13.7641,50.1019,96.0268,20.5825,34.3081,Low,Supplier Risk,monitor only
SKU-0028,WH-LYON,SUP-008,47.9916,62.3907,0.0,56.5939,0.0,34.299,Low,Stockout Risk,monitor only
SKU-0062,WH-LYON,SUP-001,32.344,15.1949,32.6197,95.1584,1.0036,34.2835,Low,Supplier Risk,monitor only
SKU-0062,WH-PORTO,SUP-001,32.5745,22.1996,24.4118,95.1584,2.496,34.1354,Low,Supplier Risk,monitor only
SKU-0002,WH-LYON,SUP-012,57.1961,59.948,0.0,44.9673,0.0,34.1104,Low,Stockout Risk,monitor only
SKU-0021,WH-LYON,SUP-008,53.9706,53.4243,0.818,56.5939,1.0224,34.1008,Low,Supplier Risk,monitor only
SKU-0068,WH-LYON,SUP-006,40.2674,63.1766,0.0,62.915,3.2421,34.0833,Low,Stockout Risk,monitor only
SKU-0071,WH-LYON,SUP-003,6.2241,7.6758,61.3878,98.2581,26.3878,34.0213,Low,Supplier Risk,monitor only
SKU-0085,WH-PORTO,SUP-003,28.6417,7.5878,37.7973,98.2581,6.7387,33.7301,Low,Supplier Risk,monitor only
SKU-0040,WH-MAD,SUP-007,46.9363,46.3529,7.5329,56.9883,9.4162,33.7067,Low,Supplier Risk,monitor only
SKU-0024,WH-LIS,SUP-005,38.5693,25.4819,29.8155,62.2282,12.2266,33.6866,Low,Supplier Risk,monitor only
SKU-0006,WH-MAD,SUP-007,50.6129,54.2909,0.4676,56.9883,0.5846,33.4033,Low,Supplier Risk,monitor only
SKU-0100,WH-LIS,SUP-002,13.2389,13.6395,46.0589,96.0268,18.8509,33.2664,Low,Supplier Risk,monitor only
SKU-0112,WH-LIS,SUP-001,32.3477,19.7814,23.5894,95.1584,1.0241,33.1455,Low,Supplier Risk,monitor only
SKU-0107,WH-LIS,SUP-002,21.7222,30.1569,20.5962,96.0268,6.1745,33.0197,Low,Supplier Risk,monitor only
SKU-0069,WH-LYON,SUP-006,27.7642,11.5177,50.9686,62.915,20.7031,33.0023,Low,Supplier Risk,monitor only
SKU-0045,WH-MAD,SUP-010,55.4392,58.0935,0.0,42.5558,0.0,32.8949,Low,Stockout Risk,monitor only
SKU-0043,WH-MAD,SUP-005,39.0211,55.6493,3.1326,62.2282,3.9158,32.8644,Low,Supplier Risk,monitor only
SKU-0112,WH-LYON,SUP-001,27.4415,8.851,35.6013,95.1584,4.74,32.4769,Low,Supplier Risk,monitor only
SKU-0074,WH-LIS,SUP-001,27.9593,32.5397,10.4583,95.1584,4.3614,32.2149,Low,Supplier Risk,monitor only
SKU-0021,WH-MAD,SUP-008,46.1801,49.3972,2.3425,56.5939,2.9281,31.9778,Low,Supplier Risk,monitor only
SKU-0068,WH-MAD,SUP-006,37.0164,56.8644,0.0,62.915,3.6152,31.9666,Low,Supplier Risk,monitor only
SKU-0089,WH-LIS,SUP-002,17.7592,22.0114,35.0,96.0268,0.0,31.8346,Low,Supplier Risk,monitor only
