intervention_id,intervention_rank,created_date,due_date,intervention_status,owner_function,intervention_type,product_id,product_name,warehouse_id,supplier_id,category,region,risk_tier,main_risk_driver,recommended_action,selected_scenario,governance_priority_score,target_governance_score,required_score_reduction,service_risk_score,stockout_risk_score,excess_inventory_score,supplier_risk_score,working_capital_risk_score,fill_rate,stockout_rate,lost_sales_revenue,inventory_value_sum,expected_margin_recovery_proxy,expected_wc_release_proxy,expected_value_proxy,sla_days,evidence_required
INT-00011,11,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0029,Frozen Product 29,WH-LYON,SUP-002,Frozen,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,59.830206736891654,45.0,14.830206736891654,91.7384386856704,91.7384386856704,7.448086544404251,96.02684642340184,3.4192053077282973,0.7893604774455452,0.2106395225544548,170000.85,5743126.44,54584.64393982898,49092.3210165068,103676.96495633578,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00012,12,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0012,Household Product 12,WH-LYON,SUP-003,Household,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,59.25006449276037,45.0,14.250064492760373,92.9355025604946,92.9355025604946,2.017087163505938,98.25809170536029,2.1024123059556112,0.7856964708816561,0.2143035291183439,254887.92,4463076.44,82908.479296297,23458.067074691404,106366.54637098839,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00013,13,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0037,Frozen Product 37,WH-LYON,SUP-003,Frozen,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,59.17548387144837,45.0,14.175483871448371,92.16556564809594,92.16556564809594,2.549467471003848,98.25809170536029,3.1868343387548097,0.7815304497307682,0.2184695502692317,196432.66,5493166.0,63365.14527231038,43764.52509320101,107129.67036551138,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00014,14,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0037,Frozen Product 37,WH-PORTO,SUP-003,Frozen,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,58.90679375639795,45.0,13.906793756397953,86.12657126048934,88.29744709704752,9.547685876684962,98.25809170536029,5.7017072090573,0.8306233984171258,0.1693766015828741,169770.37,8891556.32,51176.089544036244,126742.6269237075,177918.71646774374,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00015,15,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0031,Pet Care Product 31,WH-LYON,SUP-003,Pet Care,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,58.825043906974265,45.0,13.825043906974265,82.73153743530827,95.23153743530828,5.535522924999562,98.25809170536029,6.919403656249451,0.7528269653171353,0.2471730346828646,554283.15,11226651.68,160498.44010894955,194204.33670507759,354702.7768140271,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00016,16,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0037,Frozen Product 37,WH-MAD,SUP-003,Frozen,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,58.64971286402941,45.0,13.64971286402941,87.84798777929161,91.5286074405827,4.117126475213433,98.25809170536029,5.146408094016791,0.8222835912820615,0.1777164087179385,203319.85,7994569.52,62514.33894330591,102858.29321476983,165372.63215807575,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00017,17,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0077,Frozen Product 77,WH-MAD,SUP-003,Frozen,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,58.10869747632268,45.0,13.108697476322682,90.91598251245132,90.91598251245132,0.270245973319472,98.25809170536029,3.5799415295768364,0.7395369545859305,0.2604630454140694,128705.85,3183295.78,40954.965827475644,28490.03190937172,69444.99773684736,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00018,18,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0047,Pet Care Product 47,WH-MAD,SUP-003,Pet Care,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,58.06728387200157,45.0,13.067283872001568,81.86659772641312,94.36659772641312,4.668323481912975,98.25809170536029,5.835404352391219,0.7683254744553992,0.2316745255446007,413653.1,9122145.76,118525.30177594307,133078.52267762774,251603.82445357082,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00019,19,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0077,Frozen Product 77,WH-PORTO,SUP-003,Frozen,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,58.05850066839507,45.0,13.05850066839507,91.08227025122416,91.08227025122416,0.7201367895179888,98.25809170536029,1.9037775034998985,0.7480223359702187,0.2519776640297813,136154.76,3545252.9,43404.49626208698,16873.43178809444,60277.92805018142,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00020,20,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0047,Pet Care Product 47,WH-PORTO,SUP-003,Pet Care,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,58.05487726124243,45.0,13.054877261242432,79.3318308256919,93.90390264889632,6.349601463762742,98.2580917053603,7.937001829703427,0.8063059630405791,0.1936940369594208,353709.93,13642095.64,98211.59714844562,270693.34513917286,368904.94228761847,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00021,21,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0031,Pet Care Product 31,WH-PORTO,SUP-003,Pet Care,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,57.99306725034325,45.0,12.993067250343252,77.7434310459449,90.0521873948769,10.571557149299704,98.25809170536029,9.033529883957051,0.822277430591128,0.177722569408872,421960.59,16829697.6,114816.3241146993,380078.9405189007,494895.2646336,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00022,22,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0055,Pet Care Product 55,WH-MAD,SUP-002,Pet Care,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,57.811815023060866,45.0,12.811815023060866,82.50086685337685,95.00086685337683,4.209929741598116,96.02684642340184,5.262412176997644,0.6886263277240721,0.3113736722759279,512668.5,8174154.16,148034.5848044715,107539.42097059988,255574.0057750714,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00023,23,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0047,Pet Care Product 47,WH-LYON,SUP-003,Pet Care,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,57.692007186861446,45.0,12.692007186861446,81.8035372770783,94.3035372770783,3.833940642283814,98.25809170536029,4.792425802854766,0.7554729190302113,0.2445270809697886,404920.81,7470597.7,115933.8410128491,89505.71295056868,205439.55396341777,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00024,24,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0046,Dairy Product 46,WH-PORTO,SUP-002,Dairy,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,57.24883430874753,45.0,12.248834308747533,88.49436754682563,89.5992170103114,3.8919288645690826,96.02684642340184,0.0,0.7983123242004375,0.2016876757995624,82434.87999999999,2418815.88,25532.57899289462,0.0,25532.57899289462,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00025,25,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0055,Pet Care Product 55,WH-LYON,SUP-002,Pet Care,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,57.24869795200724,45.0,12.248697952007241,81.75242142257599,94.252421422576,3.682623300910789,96.02684642340184,4.603279126138486,0.6787055153085506,0.3212944846914494,397978.0,7204843.32,113874.82810519882,82914.76215513577,196789.5902603346,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00026,26,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0005,Frozen Product 5,WH-MAD,SUP-003,Frozen,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,57.19114500187103,45.0,12.191145001871028,90.15184854133344,90.15184854133344,0.0,98.25809170536029,0.0,0.7547715945940064,0.2452284054059936,99383.76,1509916.08,31358.70387645881,0.0,31358.70387645881,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00027,27,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0030,Dairy Product 30,WH-LYON,SUP-003,Dairy,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,57.18721321884822,45.0,12.187213218848221,86.82800944840037,86.82800944840037,6.354309165526674,98.25809170536029,0.0,0.7325297448953083,0.2674702551046916,32277.96,1016707.5,9809.20855549281,0.0,9809.20855549281,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00028,28,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0055,Pet Care Product 55,WH-PORTO,SUP-002,Pet Care,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,57.17191364203944,45.0,12.171913642039442,80.9047518721469,93.4047518721469,4.437186393030323,96.02684642340184,5.546482991287903,0.7771970104049631,0.2228029895950369,298745.5,8631141.02,84594.75692647161,119681.19215709329,204275.94908356492,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00029,29,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0046,Dairy Product 46,WH-LIS,SUP-002,Dairy,Portugal South,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,57.168306402633576,45.0,12.168306402633576,89.4781214442227,90.10005221035712,2.113543091655266,96.02684642340184,0.0,0.7948477123306051,0.2051522876693948,97657.23,2581263.48,30583.64920046235,0.0,30583.64920046235,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00030,30,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0005,Frozen Product 5,WH-LYON,SUP-003,Frozen,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,57.1266432666917,45.0,12.126643266691701,89.69401600574761,89.69401600574761,0.60875512995896,98.25809170536029,0.0,0.7456179656817523,0.2543820343182477,85121.82,1249162.94,26722.212599314284,0.0,26722.212599314284,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00031,31,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0031,Pet Care Product 31,WH-MAD,SUP-003,Pet Care,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,57.05153418627381,45.0,12.051534186273813,76.62588896531209,90.7295333757993,7.179587515820306,98.25809170536029,8.974484394775383,0.8327347143334447,0.1672652856665553,487088.1,16640472.8,130632.45533423689,373349.1586632106,503981.6139974475,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00032,32,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0046,Dairy Product 46,WH-LYON,SUP-002,Dairy,France South-East,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,56.902820653383706,45.0,11.902820653383706,90.197650448886,90.197650448886,0.1983584131326945,96.02684642340184,0.0,0.7338759472354757,0.2661240527645243,100935.89,1942488.84,31864.63043388522,0.0,31864.63043388522,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00033,33,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0046,Dairy Product 46,WH-MAD,SUP-002,Dairy,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,56.7999058741396,45.0,11.799905874139597,90.07741401390284,90.07741401390284,0.0,96.02684642340184,0.0,0.7609243697478991,0.2390756302521008,96912.08,1945038.6,30553.56343587965,0.0,30553.56343587965,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00034,34,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0031,Pet Care Product 31,WH-LIS,SUP-003,Pet Care,Portugal South,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,56.667636741835715,45.0,11.667636741835715,71.86520058307381,81.8325501261177,17.442056766094463,98.2580917053603,10.781709124512744,0.8545717567970046,0.1454282432029953,415697.16,23521638.56,104559.55924824945,634008.662714607,738568.2219628564,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00035,35,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0048,Health Product 48,WH-PORTO,SUP-003,Health,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,56.39007831779784,45.0,11.390078317797837,83.12847845504446,78.87650921744505,8.108715151546027,98.25809170536029,10.135893939432536,0.8569360626325232,0.1430639373674767,427335.3,20785328.82,124333.06647695485,526694.7210393761,651027.787516331,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00036,36,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0030,Dairy Product 30,WH-LIS,SUP-003,Dairy,Portugal South,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,56.30926216249867,45.0,11.30926216249867,87.27474048333904,87.27474048333904,1.839945280437756,98.2580917053603,0.0,0.785237787820099,0.214762212179901,37544.759999999995,1349228.34,11468.482149282367,0.0,11468.482149282367,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00037,37,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0030,Dairy Product 30,WH-MAD,SUP-003,Dairy,Spain Central,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,56.206195077368406,45.0,11.206195077368406,88.01065305328426,88.01065305328426,0.0,98.25809170536029,0.0,0.6837012024378192,0.3162987975621809,48159.869999999995,899301.6,14835.035633814452,0.0,14835.035633814452,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00038,38,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0012,Household Product 12,WH-PORTO,SUP-003,Household,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,56.1100186526417,45.0,11.110018652641699,84.07919201740492,78.96043570147968,9.172981432191126,98.25809170536029,4.549332125396228,0.8503241090255903,0.1496758909744097,213191.46,7130794.44,62737.379956338154,81100.88056372202,143838.26052006017,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00039,39,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0013,Frozen Product 13,WH-PORTO,SUP-001,Frozen,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,56.07804762283245,45.0,11.07804762283245,86.07500922057073,89.63761635468224,1.976744186046511,95.15844504508888,0.0,0.8198514406987185,0.1801485593012815,83512.88,2728181.25,25159.30170612746,0.0,25159.30170612746,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00040,40,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0030,Dairy Product 30,WH-PORTO,SUP-003,Dairy,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,55.99357612926994,45.0,10.99357612926994,87.54843794872237,87.54843794872237,0.0,98.2580917053603,0.0,0.7165235403271049,0.2834764596728952,41187.63,1030482.6,12620.694342584775,0.0,12620.694342584775,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00041,41,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0055,Pet Care Product 55,WH-LIS,SUP-002,Pet Care,Portugal South,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,55.80890836057208,45.0,10.808908360572083,73.83527012695737,89.2773960664478,8.551205404109137,96.02684642340184,7.363083362523564,0.8317637866513139,0.1682362133486861,267960.5,12222213.6,69247.27565299095,224982.94402842305,294230.219681414,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00042,42,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0037,Frozen Product 37,WH-LIS,SUP-003,Frozen,Portugal South,High,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,55.71225181206824,45.0,10.712251812068239,80.28893657068,78.22402774926964,10.277670443740377,98.25809170536029,7.469181077931286,0.8585653322495428,0.1414346677504572,189840.96,12473080.48,53347.45078584949,232909.24176182522,286256.6925476747,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00043,43,2026-04-02,2026-04-23,Open,Inventory Planning,Service Recovery,SKU-0005,Frozen Product 5,WH-PORTO,SUP-003,Frozen,Portugal North,High,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,55.625116607215986,45.0,10.625116607215986,84.56764685587864,87.11818100746548,1.839945280437756,98.25809170536029,0.0,0.8264397850147643,0.1735602149852357,72059.4,1855825.16,21328.62862146275,0.0,21328.62862146275,21,ROP/safety-stock update plus fill-rate improvement evidence
INT-00044,44,2026-04-02,2026-05-07,Monitor,Procurement,Supplier Stabilization,SKU-0049,Beverages Product 49,WH-MAD,SUP-001,Beverages,Spain Central,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,54.72860901614688,30.0,24.728609016146883,64.04850720805254,71.50734581363662,35.0,95.15844504508888,0.0,0.8504648980636356,0.1495351019363644,7748.26,788138.58,1736.9257026095281,0.0,1736.9257026095281,35,Supplier corrective action plan and OTD recovery evidence
INT-00045,45,2026-04-02,2026-05-07,Monitor,Inventory Planning,Service Recovery,SKU-0077,Frozen Product 77,WH-LIS,SUP-003,Frozen,Portugal South,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,54.68277677895229,30.0,24.682776778952288,82.53511987729424,84.53952603526258,1.2489573838323582,98.25809170536029,1.818627397617832,0.8375639610715361,0.1624360389284639,101770.34,4023675.18,29398.695241485475,18293.914803657157,47692.61004514263,35,ROP/safety-stock update plus fill-rate improvement evidence
INT-00046,46,2026-04-02,2026-05-07,Monitor,Inventory Planning,Service Recovery,SKU-0008,Health Product 8,WH-LYON,SUP-004,Health,France South-East,Medium,Stockout Risk,expedite replenishment and rebalance stock across warehouses,Service Protect,54.671255040490585,30.0,24.671255040490585,92.00841374959352,93.8304057402105,6.048492282370241,58.97763862848871,7.5606153529628015,0.8285132626788815,0.1714867373211185,876126.24,12693402.8,282138.4495537848,239924.84022755254,522063.2897813374,35,ROP/safety-stock update plus fill-rate improvement evidence
INT-00047,47,2026-04-02,2026-05-07,Monitor,Inventory Planning,Service Recovery,SKU-0060,Household Product 60,WH-LYON,SUP-002,Household,France South-East,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,54.593914338625794,30.0,24.593914338625794,78.99807390990686,91.49807390990686,0.0,96.02684642340184,1.0036065166024124,0.7067168428610334,0.2932831571389666,156722.58000000002,2359883.48,43332.73685366952,5920.986097375947,49253.72295104547,35,ROP/safety-stock update plus fill-rate improvement evidence
INT-00048,48,2026-04-02,2026-05-07,Monitor,Inventory Planning,Service Recovery,SKU-0077,Frozen Product 77,WH-LYON,SUP-003,Frozen,France South-East,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,54.59285054899464,30.0,24.59285054899464,81.69624062741863,75.68258501843795,8.116033712249669,98.2580917053603,4.760295218287463,0.8364341642123411,0.1635658357876589,71566.11,3990651.14,20463.387501649086,47491.693848988536,67955.08135063763,35,ROP/safety-stock update plus fill-rate improvement evidence
INT-00049,49,2026-04-02,2026-05-07,Monitor,Inventory Planning,Service Recovery,SKU-0060,Household Product 60,WH-LIS,SUP-002,Household,Portugal South,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,54.58902256865995,30.0,24.58902256865995,76.69140823684162,89.8001060790556,2.560881510075772,96.02684642340184,3.201101887594715,0.7978753892890579,0.2021246107109421,139960.17,5508195.12,37568.09887028715,44080.73448968,81648.83335996715,35,ROP/safety-stock update plus fill-rate improvement evidence
INT-00050,50,2026-04-02,2026-05-07,Monitor,Inventory Planning,Service Recovery,SKU-0060,Household Product 60,WH-PORTO,SUP-002,Household,Portugal North,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,54.57232956701078,30.0,24.572329567010783,78.97628740578966,91.47628740578966,0.2238593713431412,96.02684642340184,0.537254882006311,0.7018433530261924,0.2981566469738076,155571.57,3148144.7,43002.627585714734,4228.390273343233,47231.01785905797,35,ROP/safety-stock update plus fill-rate improvement evidence
INT-00051,51,2026-04-02,2026-05-07,Monitor,Inventory Planning,Service Recovery,SKU-0060,Household Product 60,WH-MAD,SUP-002,Household,Spain Central,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,Balanced Baseline,54.54002861468882,30.0,24.540028614688822,79.10802802923628,91.60802802923628,0.0,96.02684642340184,0.2574306678273845,0.7070177528893126,0.2929822471106875,162662.85,2724804.5,45037.780539904095,1753.6206053351561,46791.40114523925,35,ROP/safety-stock update plus fill-rate improvement evidence
INT-00052,52,2026-04-02,2026-05-07,Monitor,Inventory Planning,Service Recovery,SKU-0013,Frozen Product 13,WH-LYON,SUP-001,Frozen,France South-East,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,54.306952217078546,30.0,24.306952217078546,84.17712939233958,85.81404525319465,0.0,95.15844504508888,0.0,0.8310174060221075,0.1689825939778924,76503.02,2526754.5,22539.3161470566,0.0,22539.3161470566,35,ROP/safety-stock update plus fill-rate improvement evidence
INT-00053,53,2026-04-02,2026-05-07,Monitor,Procurement,Supplier Stabilization,SKU-0012,Household Product 12,WH-LIS,SUP-003,Household,Portugal South,Medium,Supplier Risk,investigate supplier reliability and qualify backup source,Service Protect,54.09720328403754,30.0,24.09720328403754,72.17303692252598,62.31408403039795,26.83986486020451,98.25809170536029,6.45509783312158,0.879248999692213,0.120751000307787,181840.32,10271531.68,45933.88845277379,165759.35472601914,211693.24317879294,35,Supplier corrective action plan and OTD recovery evidence
